mirror_84163.fna	84163	Cryptobacterium curtum
mirror_84156.fna	84156	Archaeoglobus profundus
d_1306159.fna	1306159	Gracilibacillus sp.
d_3037258.fna	3037258	Pantoea sp. X85
d_1316411.fna	1316411	Streptococcus sp. HSISS2
mirror_2675877.fna	2675877	Hymenobacter sp.
mirror_1306274.fna	1306274	Nostoc flagelliforme
mirror_3683142.fna	3683142	Exiguobacterium sp.
d_2903875.fna	2903875	Streptomyces sp. NBC_01460
d_2866199.fna	2866199	Bradyrhizobium sp. ISRA463
d_3569461.fna	3569461	Roseibium sp. M-1
d_164514.fna	164514	Blattabacterium punctulatus
d_225322.fna	225322	Pasteuria ramosa
d_373994.fna	373994	Rivularia sp. PCC 7116
