gca	taxid	phylum	genus	species	kraken_full	kraken16	kraken8	metaphlan	verdict
GCA_031296635.1	3050225	Actinomycetota	Actinomyces	Actinomyces acetigenes	N	N	N	N	conflictive-both
GCA_016862315.1	113570	Actinomycetota	Actinoplanes	Actinoplanes palleronii	N	N	N	N	conflictive-both
GCA_014873875.1	648752	Actinomycetota	Actinopolymorpha	Actinopolymorpha pittospori	N	N	N	N	conflictive-both
GCA_035830635.1	3111773	Actinomycetota	Adlercreutzia	Adlercreutzia shanghongiae	N	N	N	N	conflictive-both
GCA_034929455.1	3110235	Actinomycetota	Amycolatopsis	Amycolatopsis heterodermiae	N	N	N	N	conflictive-both
GCA_039529815.1	337894	Actinomycetota	Amycolatopsis	Amycolatopsis minnesotensis	N	N	N	N	conflictive-both
GCA_039541115.1	658456	Actinomycetota	Angustibacter	Angustibacter luteus	N	N	N	N	conflictive-both
GCA_054511355.1	271433	Actinomycetota	Arthrobacter	Arthrobacter tecti	N	N	N	N	conflictive-both
GCA_042661605.1	908252	Actinomycetota	Branchiibius	Branchiibius cervicis	N	N	N	N	conflictive-both
GCA_042429315.1	53364	Actinomycetota	Brevibacterium	Brevibacterium otitidis	N	N	N	N	conflictive-both
GCA_016862615.1	53366	Actinomycetota	Catellatospora	Catellatospora citrea	N	N	N	N	conflictive-both
GCA_016785885.1	2054421	Actinomycetota	Corynebacterium	Corynebacterium godavarianum	N	N	N	N	conflictive-both
GCA_009708045.1	3139423	Actinomycetota	Corynebacterium	Corynebacterium hiratae	N	N	N	N	conflictive-both
GCA_000321165.1	1232436	Actinomycetota	Enorma	Enorma timonensis	N	N	N	N	conflictive-both
GCA_039541575.1	552064	Actinomycetota	Fodinibacter (ex Wang et al. 2009)	Fodinibacter luteus	N	N	N	N	conflictive-both
GCA_001552115.1	1216975	Actinomycetota	Glutamicibacter	Glutamicibacter mysorens	N	N	N	N	conflictive-both
GCA_039531525.1	480996	Actinomycetota	Glycomyces	Glycomyces endophyticus	N	N	N	N	conflictive-both
GCA_021556435.1	2911060	Actinomycetota	Gordonia	Gordonia tangerina	N	N	N	N	conflictive-both
GCA_034724055.1	3080018	Actinomycetota	Intrasporangium	Intrasporangium zincisolvens	N	N	N	N	conflictive-both
GCA_050871525.1	3383145	Actinomycetota	Kineococcus	Kineococcus auxinigenes	N	N	N	N	conflictive-both
GCA_001315325.1	1306174	Actinomycetota	Kineosporia	Kineosporia aurantiaca	N	N	N	N	conflictive-both
GCA_039533515.1	58350	Actinomycetota	Kitasatospora	Kitasatospora cystarginea	N	N	N	N	conflictive-both
GCA_048606395.1	3404796	Actinomycetota	Knoellia	Knoellia pratensis	N	N	N	N	conflictive-both
GCA_039529615.1	324851	Actinomycetota	Kribbella	Kribbella karoonensis	N	N	N	N	conflictive-both
GCA_039537265.1	433643	Actinomycetota	Leifsonella	Leifsonella bigeumensis	N	N	N	N	conflictive-both
GCA_039543865.1	1336204	Actinomycetota	Microbacterium	Microbacterium gilvum	N	N	N	N	conflictive-both
GCA_046064585.1	3035918	Actinomycetota	Microbacterium	Microbacterium mcarthurae	N	N	N	N	conflictive-both
GCA_054779995.1	1507331	Actinomycetota	Microbacterium	Microbacterium shaanxiense	N	N	N	N	conflictive-both
GCA_016900955.1	2807622	Actinomycetota	Micromonospora	Micromonospora humidisoli	N	N	N	N	conflictive-both
GCA_031845925.1	3075516	Actinomycetota	Micromonospora	Micromonospora reichwaldensis	N	N	N	N	conflictive-both
GCA_056150165.1	3096977	Actinomycetota	Micromonospora	Micromonospora xinjiangensis	N	N	N	N	conflictive-both
GCA_054778155.1	1522057	Actinomycetota	Micromonospora	Micromonospora zhanjiangensis	N	N	N	N	conflictive-both
GCA_002086165.1	701041	Actinomycetota	Mycobacterium	Mycobacterium bouchedurhonense	N	N	N	N	conflictive-both
GCA_030519285.1	3062257	Actinomycetota	Mycolicibacterium	Mycolicibacterium arseniciresistens	N	N	N	N	conflictive-both
GCA_052983615.1	2972482	Actinomycetota	Nocardia	Nocardia fodinahabitans	N	N	N	N	conflictive-both
GCA_039531755.1	433657	Actinomycetota	Nocardioides	Nocardioides bigeumensis	N	N	N	N	conflictive-both
GCA_051390595.1	3416952	Actinomycetota	Nocardioides	Nocardioides segetis	N	N	N	N	conflictive-both
GCA_039531895.1	568818	Actinomycetota	Nonomuraea	Nonomuraea monospora	N	N	N	N	conflictive-both
GCA_016907365.1	162170	Actinomycetota	Oerskovia	Oerskovia paurometabola	N	N	N	N	conflictive-both
GCA_040227205.1	3144664	Actinomycetota	Parafrigoribacterium	Parafrigoribacterium humi	N	N	N	N	conflictive-both
GCA_039532605.1	706583	Actinomycetota	Pilimelia	Pilimelia columellifera	N	N	N	N	conflictive-both
GCA_049999945.1	3402278	Actinomycetota	Planosporangium	Planosporangium spinosum	N	N	N	N	conflictive-both
GCA_039527995.1	234614	Actinomycetota	Planotetraspora	Planotetraspora silvatica	N	N	N	N	conflictive-both
GCA_014644515.1	158897	Actinomycetota	Pseudarthrobacter	Pseudarthrobacter scleromae	N	N	N	N	conflictive-both
GCA_039526905.1	102227	Actinomycetota	Pseudonocardia	Pseudonocardia kongjuensis	N	N	N	N	conflictive-both
GCA_042677685.1	58107	Actinomycetota	Pseudonocardia	Pseudonocardia yunnanensis	N	N	N	N	conflictive-both
GCA_036327795.1	714159	Actinomycetota	Rhodococcus	Rhodococcus artemisiae	N	N	N	N	conflictive-both
GCA_020859565.1	2893018	Actinomycetota	Saccharothrix	Saccharothrix luteola	N	N	N	N	conflictive-both
GCA_042510955.1	3342716	Actinomycetota	Streptacidiphilus	Streptacidiphilus cavernicola	N	N	N	N	conflictive-both
GCA_039542725.1	427369	Actinomycetota	Streptomonospora	Streptomonospora halophila	N	N	N	N	conflictive-both
GCA_005981925.1	329524	Actinomycetota	Streptomyces	Streptomyces albidochromogenes	N	N	N	N	conflictive-both
GCA_039521185.1	68180	Actinomycetota	Streptomyces	Streptomyces blastmyceticus	N	N	N	N	conflictive-both
GCA_042652065.1	285563	Actinomycetota	Streptomyces	Streptomyces coeruleoprunus	N	N	N	N	conflictive-both
GCA_039521265.1	68191	Actinomycetota	Streptomyces	Streptomyces crystallinus	N	N	N	N	conflictive-both
GCA_030803745.1	588122	Actinomycetota	Streptomyces	Streptomyces demainii	N	N	N	N	conflictive-both
GCA_047946815.1	3390849	Actinomycetota	Streptomyces	Streptomyces hamibioticus	N	N	N	N	conflictive-both
GCA_054729265.1	1565034	Actinomycetota	Streptomyces	Streptomyces krungchingensis	N	N	N	N	conflictive-both
GCA_039532865.1	173856	Actinomycetota	Streptomyces	Streptomyces luteosporeus	N	N	N	N	conflictive-both
GCA_046614795.1	1206892	Actinomycetota	Streptomyces	Streptomyces mangrovi	N	N	N	N	conflictive-both
GCA_042654885.1	1459942	Actinomycetota	Streptomyces	Streptomyces maoxianensis	N	N	N	N	conflictive-both
GCA_039532965.1	58345	Actinomycetota	Streptomyces	Streptomyces mauvecolor	N	N	N	N	conflictive-both
GCA_003865155.1	92743	Actinomycetota	Streptomyces	Streptomyces paromomycinus	N	N	N	N	conflictive-both
GCA_036689765.1	3120506	Actinomycetota	Streptomyces	Streptomyces poriticola	N	N	N	N	conflictive-both
GCA_042430825.1	67353	Actinomycetota	Streptomyces	Streptomyces racemochromogenes	N	N	N	N	conflictive-both
GCA_039532905.1	1972	Actinomycetota	Streptomyces	Streptomyces roseiscleroticus	N	N	N	N	conflictive-both
GCA_005768555.2	2315329	Actinomycetota	Streptomyces	Streptomyces sporangiiformans	N	N	N	N	conflictive-both
GCA_039541155.1	644556	Actinomycetota	Tsukamurella	Tsukamurella soli	N	N	N	N	conflictive-both
GCA_900626155.1	2042308	Bacillota	Anaerococcus	Anaerococcus vaginimassiliensis	N	N	N	N	conflictive-both
GCA_040194375.1	3155929	Bacillota	Bacillus	Bacillus ayatagriensis	N	N	N	N	conflictive-both
GCA_037024155.1	3109031	Bacillota	Bacillus	Bacillus spongicola	N	N	N	N	conflictive-both
GCA_040095955.1	3133175	Bacillota	Blautia	Blautia caccae	N	N	N	N	conflictive-both
GCA_025566885.1	2981725	Bacillota	Brotonthovivens	Brotonthovivens ammoniilytica	N	N	N	N	conflictive-both
GCA_042651875.1	2053367	Bacillota	Citroniella	Citroniella saccharovorans	N	N	N	N	conflictive-both
GCA_039521365.1	1539	Bacillota	Clostridium	Clostridium malenominatum	N	N	N	N	conflictive-both
GCA_051590805.1	3418665	Bacillota	Clostridium	Clostridium zhoujianii	N	N	N	N	conflictive-both
GCA_003570905.1	2315694	Bacillota	Cohnella	Cohnella faecalis	N	N	N	N	conflictive-both
GCA_042654605.1	1159753	Bacillota	Enterococcus	Enterococcus eurekensis	N	N	N	N	conflictive-both
