gca	taxid	species_taxid	phylum	genus	species	kraken_full	kraken16	kraken8	metaphlan	verdict
GCA_022808815.1	2922722	2922722	Acidobacteriota	Geothrix	Geothrix paludis	N	N	N	N	conflictive-both
GCA_000423445.1	1122998	1751	Actinomycetota	Acidipropionibacterium	Acidipropionibacterium thoenii	N	N	N	N	conflictive-both
GCA_036353415.1	3110430	3110430	Actinomycetota	Actinacidiphila	Actinacidiphila polyblastidii	N	N	N	N	conflictive-both
GCA_039542035.1	1080073	1080073	Actinomycetota	Actinoallomurus	Actinoallomurus liliacearum	N	N	N	N	conflictive-both
GCA_039541955.1	502180	502180	Actinomycetota	Actinoallomurus	Actinoallomurus oryzae	N	N	N	N	conflictive-both
GCA_024055715.1	2952535	2952535	Actinomycetota	Actinoallomurus	Actinoallomurus soli	N	N	N	N	conflictive-both
GCA_039542055.1	1080074	1080074	Actinomycetota	Actinoallomurus	Actinoallomurus vinaceus	N	N	N	N	conflictive-both
GCA_039533685.1	46204	46204	Actinomycetota	Actinocorallia	Actinocorallia aurantiaca	N	N	N	N	conflictive-both
GCA_054783995.1	65511	65511	Actinomycetota	Actinocorallia	Actinocorallia aurea	N	N	N	N	conflictive-both
GCA_039525175.1	46162	46162	Actinomycetota	Actinocorallia	Actinocorallia libanotica	N	N	N	N	conflictive-both
GCA_039534125.1	111803	111803	Actinomycetota	Actinocorallia	Actinocorallia longicatena	N	N	N	N	conflictive-both
GCA_042657845.1	1490288	1490288	Actinomycetota	Actinokineospora	Actinokineospora guangxiensis	N	N	N	N	conflictive-both
GCA_053813445.1	3455208	3455208	Actinomycetota	Actinokineospora	Actinokineospora lacus	N	N	N	N	conflictive-both
GCA_042666155.1	1048753	1048753	Actinomycetota	Actinokineospora	Actinokineospora soli	N	N	N	N	conflictive-both
GCA_900111175.1	155974	155974	Actinomycetota	Actinokineospora	Actinokineospora terrae	N	N	N	N	conflictive-both
GCA_042676865.1	1819600	1819600	Actinomycetota	Actinomadura	Actinomadura adrarensis	N	N	N	N	conflictive-both
GCA_041463695.1	454156	454156	Actinomycetota	Actinomadura	Actinomadura chokoriensis	N	N	N	N	conflictive-both
GCA_039529475.1	454156	454156	Actinomycetota	Actinomadura	Actinomadura chokoriensis	N	N	N	N	conflictive-both
GCA_014208105.1	46159	46159	Actinomycetota	Actinomadura	Actinomadura coerulea	N	N	N	N	conflictive-both
GCA_039533225.1	46160	46160	Actinomycetota	Actinomadura	Actinomadura fulvescens	N	N	N	N	conflictive-both
GCA_042652125.1	1763541	1763541	Actinomycetota	Actinomadura	Actinomadura gamaensis	N	N	N	N	conflictive-both
GCA_039539665.1	547461	547461	Actinomycetota	Actinomadura	Actinomadura keratinilytica	N	N	N	N	conflictive-both
GCA_042666695.1	547461	547461	Actinomycetota	Actinomadura	Actinomadura keratinilytica	N	N	N	N	conflictive-both
GCA_039537545.1	559626	559626	Actinomycetota	Actinomadura	Actinomadura meridiana	N	N	N	N	conflictive-both
GCA_900188105.1	134959	134959	Actinomycetota	Actinomadura	Actinomadura mexicana	N	N	N	N	conflictive-both
GCA_039536785.1	430685	430685	Actinomycetota	Actinomadura	Actinomadura miaoliensis	N	N	N	N	conflictive-both
GCA_041463655.1	3097367	3097367	Actinomycetota	Actinomadura	Actinomadura monticuli	N	N	N	N	conflictive-both
GCA_039529375.1	267854	267854	Actinomycetota	Actinomadura	Actinomadura napierensis	N	N	N	N	conflictive-both
GCA_050971785.1	559629	559629	Actinomycetota	Actinomadura	Actinomadura scrupuli	N	N	N	N	conflictive-both
GCA_042675525.1	1038904	1038904	Actinomycetota	Actinomadura	Actinomadura sediminis	N	N	N	N	conflictive-both
GCA_008085905.1	1427538	1427538	Actinomycetota	Actinomadura	Actinomadura syzygii	N	N	N	N	conflictive-both
GCA_039532545.1	115336	115336	Actinomycetota	Actinomadura	Actinomadura vinacea	N	N	N	N	conflictive-both
GCA_017573465.1	2819934	2819934	Actinomycetota	Actinomadura	Actinomadura violacea	N	N	N	N	conflictive-both
GCA_042661845.1	111807	111807	Actinomycetota	Actinomadura	Actinomadura yumaensis	N	N	N	N	conflictive-both
GCA_056431065.1	111807	111807	Actinomycetota	Actinomadura	Actinomadura yumaensis	N	N	N	N	conflictive-both
GCA_042662425.1	111807	111807	Actinomycetota	Actinomadura	Actinomadura yumaensis	N	N	N	N	conflictive-both
GCA_031296635.1	3050225	3050225	Actinomycetota	Actinomyces	Actinomyces acetigenes	N	N	N	N	conflictive-both
GCA_900444995.1	1658	1658	Actinomycetota	Actinomyces	Actinomyces bovis	N	N	N	N	conflictive-both
GCA_900155605.1	1852376	1852376	Actinomycetota	Actinomyces	Actinomyces marseillensis	N	N	N	N	conflictive-both
GCA_031292835.1	3050227	3050227	Actinomycetota	Actinomyces	Actinomyces stomatis	N	N	N	N	conflictive-both
GCA_900002405.2	1522002	1522002	Actinomycetota	Actinomyces	Actinomyces succiniciruminis	N	N	N	N	conflictive-both
GCA_037400275.1	3129231	3129231	Actinomycetota	Actinomycetospora	Actinomycetospora aeridis	N	N	N	N	conflictive-both
GCA_042653685.1	1290095	1290095	Actinomycetota	Actinomycetospora	Actinomycetospora atypica	N	N	N	N	conflictive-both
GCA_037401875.1	3129233	3129233	Actinomycetota	Actinomycetospora	Actinomycetospora aurantiaca	N	N	N	N	conflictive-both
GCA_039542135.1	663608	663608	Actinomycetota	Actinomycetospora	Actinomycetospora chlora	N	N	N	N	conflictive-both
GCA_037400335.1	3129232	3129232	Actinomycetota	Actinomycetospora	Actinomycetospora flava	N	N	N	N	conflictive-both
GCA_042657905.1	1416876	1416876	Actinomycetota	Actinomycetospora	Actinomycetospora rhizophila	N	N	N	N	conflictive-both
GCA_042653545.1	2044873	2044873	Actinomycetota	Actinophytocola	Actinophytocola glycyrrhizae	N	N	N	N	conflictive-both
GCA_019429605.1	1144547	1144547	Actinomycetota	Actinoplanes	Actinoplanes hulinensis	N	N	N	N	conflictive-both
GCA_055379055.1	3112768	3112768	Actinomycetota	Actinoplanes	Actinoplanes kirromycinicus	N	N	N	N	conflictive-both
GCA_014205215.1	113568	113568	Actinomycetota	Actinoplanes	Actinoplanes lobatus	N	N	N	N	conflictive-both
GCA_016862255.1	113568	113568	Actinomycetota	Actinoplanes	Actinoplanes lobatus	N	N	N	N	conflictive-both
GCA_016862315.1	113570	113570	Actinomycetota	Actinoplanes	Actinoplanes palleronii	N	N	N	N	conflictive-both
GCA_039533665.1	113570	113570	Actinomycetota	Actinoplanes	Actinoplanes palleronii	N	N	N	N	conflictive-both
GCA_042650585.1	1547892	1547892	Actinomycetota	Actinoplanes	Actinoplanes subglobosus	N	N	N	N	conflictive-both
GCA_014873875.1	648752	648752	Actinomycetota	Actinopolymorpha	Actinopolymorpha pittospori	N	N	N	N	conflictive-both
GCA_900116555.1	995060	1234544	Actinomycetota	Actinopolyspora	Actinopolyspora lacussalsi	N	N	N	N	conflictive-both
GCA_030803735.1	1234544	1234544	Actinomycetota	Actinopolyspora	Actinopolyspora lacussalsi	N	N	N	N	conflictive-both
GCA_056323685.1	1873423	1873423	Actinomycetota	Actinorectispora	Actinorectispora metalli	N	N	N	N	conflictive-both
GCA_039543365.1	648755	648755	Actinomycetota	Actinospineispora	Actinospineispora eucalypti	N	N	N	N	conflictive-both
GCA_051265775.1	3427277	3427277	Actinomycetota	Actinotignum	Actinotignum cystesis	N	N	N	N	conflictive-both
GCA_051265835.1	3427278	3427278	Actinomycetota	Actinotignum	Actinotignum inguinis	N	N	N	N	conflictive-both
GCA_051266415.1	3427275	3427275	Actinomycetota	Actinotignum	Actinotignum lotii	N	N	N	N	conflictive-both
GCA_051265035.1	3427276	3427276	Actinomycetota	Actinotignum	Actinotignum saccati	N	N	N	N	conflictive-both
GCA_051265215.1	3427279	3427279	Actinomycetota	Actinotignum	Actinotignum stranguriae	N	N	N	N	conflictive-both
GCA_051264595.1	3427280	3427280	Actinomycetota	Actinotignum	Actinotignum urematis	N	N	N	N	conflictive-both
GCA_051265855.1	3427274	3427274	Actinomycetota	Actinotignum	Actinotignum vesiculae	N	N	N	N	conflictive-both
GCA_009755265.1	2916441	2916441	Actinomycetota	Adlercreutzia	Adlercreutzia rubneri	N	N	N	N	conflictive-both
GCA_035830635.1	3111773	3111773	Actinomycetota	Adlercreutzia	Adlercreutzia shanghongiae	N	N	N	N	conflictive-both
GCA_035989245.1	3111451	3111451	Actinomycetota	Adlercreutzia	Adlercreutzia wanghongyangiae	N	N	N	N	conflictive-both
GCA_039529015.1	302168	302168	Actinomycetota	Aeromicrobium	Aeromicrobium alkaliterrae	N	N	N	N	conflictive-both
GCA_039531385.1	560557	560557	Actinomycetota	Aeromicrobium	Aeromicrobium halocynthiae	N	N	N	N	conflictive-both
GCA_047246605.1	3142375	3142375	Actinomycetota	Aeromicrobium	Aeromicrobium jepli	N	N	N	N	conflictive-both
GCA_051192575.1	2035834	2035834	Actinomycetota	Aestuariimicrobium	Aestuariimicrobium soli	N	N	N	N	conflictive-both
GCA_039527715.1	84643	84643	Actinomycetota	Agrococcus	Agrococcus citreus	N	N	N	N	conflictive-both
GCA_039531815.1	501482	501482	Actinomycetota	Agrococcus	Agrococcus versicolor	N	N	N	N	conflictive-both
GCA_052805135.1	766966	766966	Actinomycetota	Agromyces	Agromyces arachidis	N	N	N	N	conflictive-both
GCA_040496035.1	3158560	3158560	Actinomycetota	Agromyces	Agromyces chitinivorans	N	N	N	N	conflictive-both
GCA_051715505.1	3447585	3447585	Actinomycetota	Agromyces	Agromyces excoecariae	N	N	N	N	conflictive-both
