taxid	species	phylum	superkingdom
56	Sorangium cellulosum	Myxococcota	Bacteria
63	Vitreoscilla filiformis	Pseudomonadota	Bacteria
78	Caulobacter sp.	Pseudomonadota	Bacteria
87	Hyphomonas sp.	Pseudomonadota	Bacteria
163	Treponema bryantii	Spirochaetota	Bacteria
180	Leptospirillum ferrooxidans	Nitrospirota	Bacteria
239	Flavobacterium sp.	Bacteroidota	Bacteria
267	Paracoccus sp. (in: a-proteobacteria)	Pseudomonadota	Bacteria
306	Pseudomonas sp.	Pseudomonadota	Bacteria
361	Agrobacterium sp.	Pseudomonadota	Bacteria
376	Bradyrhizobium sp.	Pseudomonadota	Bacteria
409	Methylobacterium sp.	Pseudomonadota	Bacteria
472	Acinetobacter sp.	Pseudomonadota	Bacteria
524	Acidiphilium cryptum	Pseudomonadota	Bacteria
576	Klebsiella sp.	Pseudomonadota	Bacteria
599	Salmonella sp.	Pseudomonadota	Bacteria
616	Serratia sp. (in: enterobacteria)	Pseudomonadota	Bacteria
647	Aeromonas sp.	Pseudomonadota	Bacteria
678	Vibrio sp.	Pseudomonadota	Bacteria
749	[Pasteurella] aerogenes	Pseudomonadota	Bacteria
760	Pasteurella stomatis	Pseudomonadota	Bacteria
786	Rickettsia akari	Pseudomonadota	Bacteria
788	Rickettsia canadensis	Pseudomonadota	Bacteria
803	Bartonella quintana	Pseudomonadota	Bacteria
850	Fusobacterium mortiferum	Fusobacteriota	Bacteria
924	Thiobacillus sp.	Pseudomonadota	Bacteria
944	Ehrlichia canis	Pseudomonadota	Bacteria
949	Anaplasma platys	Pseudomonadota	Bacteria
955	Wolbachia pipientis	Pseudomonadota	Bacteria
1042	Erythrobacter sp.	Pseudomonadota	Bacteria
1094	Chlorobium phaeovibrioides	Chlorobiota	Bacteria
1131	Synechococcus sp.	Cyanobacteriota	Bacteria
1147	Synechocystis sp. PCC 6714	Cyanobacteriota	Bacteria
1148	Synechocystis sp. PCC 6803	Cyanobacteriota	Bacteria
1164	Trichormus azollae	Cyanobacteriota	Bacteria
1166	Dolichospermum flos-aquae	Cyanobacteriota	Bacteria
1178	Nostoc commune	Cyanobacteriota	Bacteria
1188	Tolypothrix sp. PCC 7601	Cyanobacteriota	Bacteria
1206	Trichodesmium erythraeum	Cyanobacteriota	Bacteria
1319	Streptococcus sp. 'group B'	Bacillota	Bacteria
1346	Streptococcus iniae	Bacillota	Bacteria
1394	[Bacillus] caldolyticus	Bacillota	Bacteria
1400	Bacillus intermedius	Bacillota	Bacteria
1476	Sporosarcina psychrophila	Bacillota	Bacteria
1506	Clostridium sp.	Bacillota	Bacteria
1591	Lactobacillus sp.	Bacillota	Bacteria
1667	Arthrobacter sp.	Actinomycetota	Bacteria
1769	Mycobacterium leprae	Actinomycetota	Bacteria
1831	Rhodococcus sp. (in: high G+C Gram-positive bacteria)	Actinomycetota	Bacteria
1858	Frankia sp. ArI3	Actinomycetota	Bacteria
1885	Streptomyces actuosus	Actinomycetota	Bacteria
1902	Streptomyces coelicolor	Actinomycetota	Bacteria
1916	Streptomyces lividans	Actinomycetota	Bacteria
1926	Streptomyces reticuli	Actinomycetota	Bacteria
1968	Streptomyces cellulosae	Actinomycetota	Bacteria
2125	Metamycoplasma sualvi	Mycoplasmatota	Bacteria
2134	Spiroplasma melliferum	Mycoplasmatota	Bacteria
2138	Spiroplasma poulsonii	Mycoplasmatota	Bacteria
2155	Phytoplasma sp.	Mycoplasmatota	Bacteria
2355	unidentified bacterial endosymbiont	unclassified	Bacteria
2360	Bathymodiolus thermophilus thioautotrophic gill symbiont	Pseudomonadota	Bacteria
28072	Nostoc sp. PCC 7524	Cyanobacteriota	Bacteria
28176	Candidatus Photodesmus anomalopis	Pseudomonadota	Bacteria
28184	Leptospira weilii	Spirochaetota	Bacteria
28214	Sphingomonas sp.	Pseudomonadota	Bacteria
28227	Malacoplasma penetrans	Mycoplasmatota	Bacteria
28229	Colwellia psychrerythraea	Pseudomonadota	Bacteria
28896	Thermoanaerobacterium saccharolyticum	Bacillota	Bacteria
29341	Clostridium argentinense	Bacillota	Bacteria
29468	Methylocystis echinoides	Pseudomonadota	Bacteria
29523	Bacteroides sp.	Bacteroidota	Bacteria
29541	Methylophilus sp.	Pseudomonadota	Bacteria
29546	Lawsonia intracellularis	Thermodesulfobacteriota	Bacteria
29554	Metamycoplasma canadense	Mycoplasmatota	Bacteria
32025	Helicobacter hepaticus	Campylobacterota	Bacteria
32049	Picosynechococcus sp. PCC 7002	Cyanobacteriota	Bacteria
32052	Synechococcus sp. WH 8020	Cyanobacteriota	Bacteria
33040	Streptococcus milleri	Bacillota	Bacteria
33046	Bartonella taylorii	Pseudomonadota	Bacteria
33056	Candidatus Kinetoplastidibacterium crithidiae	Pseudomonadota	Bacteria
33883	Microbacterium arborescens	Actinomycetota	Bacteria
33905	Bifidobacterium thermophilum	Actinomycetota	Bacteria
33934	Anoxybacillus flavithermus	Bacillota	Bacteria
33936	Aeribacillus pallidus	Bacillota	Bacteria
33989	Rickettsia amblyommatis	Pseudomonadota	Bacteria
33991	Rickettsia montanensis	Pseudomonadota	Bacteria
34020	Candidatus Liberibacter africanus	Pseudomonadota	Bacteria
34029	Leptothrix cholodnii	Pseudomonadota	Bacteria
34094	Simkania sp.	Chlamydiota	Bacteria
35769	Metamycoplasma gateae	Mycoplasmatota	Bacteria
35770	Tomato big bud phytoplasma	Mycoplasmatota	Bacteria
35772	Peanut witches'-broom phytoplasma	Mycoplasmatota	Bacteria
35773	Candidatus Phytoplasma luffae	Mycoplasmatota	Bacteria
35779	Aster yellows phytoplasma	Mycoplasmatota	Bacteria
35780	Candidatus Phytoplasma fraxini	Mycoplasmatota	Bacteria
35783	Enterococcus sp.	Bacillota	Bacteria
35788	Rickettsia africae	Pseudomonadota	Bacteria
35789	Rickettsia helvetica	Pseudomonadota	Bacteria
35791	Rickettsia massiliae	Pseudomonadota	Bacteria
35792	Rickettsia parkeri	Pseudomonadota	Bacteria
35841	Caldibacillus thermoamylovorans	Bacillota	Bacteria
37692	Candidatus Phytoplasma mali	Mycoplasmatota	Bacteria
37694	Beet leafhopper transmitted virescence phytoplasma	Mycoplasmatota	Bacteria
37700	Pigeon pea witches'-broom phytoplasma	Mycoplasmatota	Bacteria
38300	Streptomyces pristinaespiralis	Actinomycetota	Bacteria
39647	Paulownia witches'-broom phytoplasma	Mycoplasmatota	Bacteria
39689	Mycobacterium gallinarum	Actinomycetota	Bacteria
39765	Hydrogenovibrio crunogenus	Pseudomonadota	Bacteria
39768	Blattabacterium sp. (Mastotermes darwiniensis)	Bacteroidota	Bacteria
39950	Dialister pneumosintes	Bacillota	Bacteria
40001	Cellulomonas sp.	Actinomycetota	Bacteria
40269	Aliivibrio salmonicida	Pseudomonadota	Bacteria
40577	Xenorhabdus poinarii	Pseudomonadota	Bacteria
42094	Ureaplasma diversum	Mycoplasmatota	Bacteria
42239	Streptomyces sampsonii	Actinomycetota	Bacteria
42353	Nitrosomonas sp.	Pseudomonadota	Bacteria
42895	Enterobacter sp.	Pseudomonadota	Bacteria
43306	Pseudomonas denitrificans (nom. rej.)	Pseudomonadota	Bacteria
43617	Mesorhizobium mediterraneum	Pseudomonadota	Bacteria
43774	Syntrophus buswellii	Thermodesulfobacteriota	Bacteria
43990	Corynebacterium segmentosum	Actinomycetota	Bacteria
44273	Lactococcus sp.	Bacillota	Bacteria
44448	Borrelia persica	Spirochaetota	Bacteria
44742	Desulfovibrio fairfieldensis	Thermodesulfobacteriota	Bacteria
44822	Microcystis viridis	Cyanobacteriota	Bacteria
46234	Anabaena sp. 90	Cyanobacteriota	Bacteria
47478	Deinococcus sp.	Deinococcota	Bacteria
47490	Thermoanaerobacterium aotearoense	Bacillota	Bacteria
47589	Rickettsia peacockii	Pseudomonadota	Bacteria
47660	Pseudomonas sp. ADP	Pseudomonadota	Bacteria
47834	Spiroplasma kunkelii	Mycoplasmatota	Bacteria
48003	Mycoplasmopsis pullorum	Mycoplasmatota	Bacteria
48221	Carnobacterium sp.	Bacillota	Bacteria
48257	Clostridium sp. MCF-1	Bacillota	Bacteria
49118	Candidatus Arthromitus sp. SFB-mouse	Bacillota	Bacteria
49982	Sporosarcina sp.	Bacillota	Bacteria
50338	Rhizobium sullae	Pseudomonadota	Bacteria
50422	Shewanella sp.	Pseudomonadota	Bacteria
50741	Marinobacter sp.	Pseudomonadota	Bacteria
51049	Actinobacillus indolicus	Pseudomonadota	Bacteria
51161	Actinobacillus delphinicola	Pseudomonadota	Bacteria
51229	Wigglesworthia glossinidia	Pseudomonadota	Bacteria
52761	Azospirillum largimobile	Pseudomonadota	Bacteria
55212	Erwinia rhapontici	Pseudomonadota	Bacteria
55395	Bradyrhizobium sp. NC92	Pseudomonadota	Bacteria
56142	Metamycoplasma faucium	Mycoplasmatota	Bacteria
56689	Mycolicibacterium mucogenicum	Actinomycetota	Bacteria
56811	Psychrobacter sp.	Pseudomonadota	Bacteria
58049	Colwellia sp. MT41	Pseudomonadota	Bacteria
58172	Paenibacillus sp.	Bacillota	Bacteria
59512	Planktothrix rubescens	Cyanobacteriota	Bacteria
59748	Candidatus Phytoplasma australiense	Mycoplasmatota	Bacteria
59779	Paracoccus marcusii	Pseudomonadota	Bacteria
59823	Prevotella sp.	Bacteroidota	Bacteria
59932	Synechococcus sp. WH 8101	Cyanobacteriota	Bacteria
60035	Citrifermentans bremense	Thermodesulfobacteriota	Bacteria
60480	Shewanella sp. MR-4	Pseudomonadota	Bacteria
61312	Acinetobacter sp. SUN	Pseudomonadota	Bacteria
61624	Paenibacillus mucilaginosus	Bacillota	Bacteria
63612	Sodalis glossinidius	Pseudomonadota	Bacteria
64471	Synechococcus sp. CC9311	Cyanobacteriota	Bacteria
65093	Halothece sp. PCC 7418	Cyanobacteriota	Bacteria
65384	Vibrio sp. 41	Pseudomonadota	Bacteria
66084	Wolbachia sp. wRi	Pseudomonadota	Bacteria
66228	Gleimia europaea	Actinomycetota	Bacteria
66425	Streptomyces luteoverticillatus	Actinomycetota	Bacteria
66871	Streptomyces aureoverticillatus	Actinomycetota	Bacteria
67828	Citrobacter gillenii	Pseudomonadota	Bacteria
68192	Streptomyces cyaneogriseus	Actinomycetota	Bacteria
68203	Streptomyces fungicidicus	Actinomycetota	Bacteria
68212	Streptomyces graminofaciens	Actinomycetota	Bacteria
68242	Streptomyces natalensis	Actinomycetota	Bacteria
68246	Streptomyces olivoreticuli	Actinomycetota	Bacteria
69328	Pseudomonas sp. VLB120	Pseudomonadota	Bacteria
69665	Caulobacter sp. FWC26	Pseudomonadota	Bacteria
69710	Treponema vincentii	Spirochaetota	Bacteria
69896	Candidatus Phytoplasma solani	Mycoplasmatota	Bacteria
70799	Nodularia spumigena	Cyanobacteriota	Bacteria
71190	Pseudanabaena mucicola	Cyanobacteriota	Bacteria
72026	Helcococcus ovis	Bacillota	Bacteria
73780	Methylocaldum szegediense	Pseudomonadota	Bacteria
74109	Photobacterium profundum	Pseudomonadota	Bacteria
75561	Microcystis ichthyoblabe	Cyanobacteriota	Bacteria
75692	Pseudomonas sp. 273	Pseudomonadota	Bacteria
76259	Ferribacterium limneticum	Pseudomonadota	Bacteria
76335	Nostoc sp. ATCC 53789	Cyanobacteriota	Bacteria
76853	Solibacillus silvestris	Bacillota	Bacteria
76885	Pseudomonas sp. K-62	Pseudomonadota	Bacteria
77037	Wolbachia endosymbiont of Muscidifurax uniraptor	Pseudomonadota	Bacteria
77038	Wolbachia endosymbiont of Drosophila simulans	Pseudomonadota	Bacteria
77125	Wolbachia endosymbiont of Encarsia formosa	Pseudomonadota	Bacteria
77133	uncultured bacterium	unclassified	Bacteria
77152	Moraxella sp. TA144	Pseudomonadota	Bacteria
77551	Wolbachia endosymbiont of Onchocerca volvulus	Pseudomonadota	Bacteria
78126	Desulfosporomusa polytropa	Bacillota	Bacteria
78331	Mycobacterium canetti	Actinomycetota	Bacteria
78535	Streptococcus viridans	Bacillota	Bacteria
79883	Sutcliffiella horikoshii	Bacillota	Bacteria
80849	Wolbachia endosymbiont of Brugia malayi	Pseudomonadota	Bacteria
80850	Wolbachia endosymbiont of Litomosoides sigmodontis	Pseudomonadota	Bacteria
80852	Aliivibrio wodanis	Pseudomonadota	Bacteria
80860	Streptomyces cyanogenus	Actinomycetota	Bacteria
83450	Archangium minus	Myxococcota	Bacteria
83556	Chlamydia felis	Chlamydiota	Bacteria
83559	Chlamydia suis	Chlamydiota	Bacteria
83626	Bradyrhizobium genosp. A	Pseudomonadota	Bacteria
83637	Bradyrhizobium genosp. L	Pseudomonadota	Bacteria
83641	Bradyrhizobium genosp. P	Pseudomonadota	Bacteria
83656	Streptomyces tsukubensis	Actinomycetota	Bacteria
84025	Clostridium haemolyticum	Bacillota	Bacteria
84600	Sulfolobus sp. NOB8H2	Thermoproteota	Archaea
85401	Mannheimia glucosida	Pseudomonadota	Bacteria
85620	Candidatus Phytoplasma asteris	Mycoplasmatota	Bacteria
86106	endosymbiont of Acanthamoeba sp. UWC8	Pseudomonadota	Bacteria
86171	Micrococcus antarcticus	Actinomycetota	Bacteria
87791	Pseudoalteromonas sp. PS1M3	Pseudomonadota	Bacteria
88773	Halobacterium sp. GN101	Methanobacteriota	Archaea
89586	Neoehrlichia mikurensis	Pseudomonadota	Bacteria
90322	Sphingomonas sp. A1	Pseudomonadota	Bacteria
90426	Methanothrix sp.	Methanobacteriota	Archaea
91604	Candidatus Odyssella acanthamoebae	Pseudomonadota	Bacteria
91844	Candidatus Portiera aleyrodidarum	Pseudomonadota	Bacteria
92406	Metamycoplasma spumans	Mycoplasmatota	Bacteria
92490	Winslowiella toletana	Pseudomonadota	Bacteria
92706	[Brevibacterium] flavum	Actinomycetota	Bacteria
92945	Ketogulonicigenium vulgare	Pseudomonadota	Bacteria
92947	Ketogulonicigenium robustum	Pseudomonadota	Bacteria
93944	Nonomuraea gerenzanensis	Actinomycetota	Bacteria
94122	Shewanella sp. ANA-3	Pseudomonadota	Bacteria
95301	Pseudomonas multiresinivorans	Pseudomonadota	Bacteria
95619	Pseudomonas sp. M1	Pseudomonadota	Bacteria
95641	Methylotuvimicrobium buryatense	Pseudomonadota	Bacteria
96495	Wolbachia endosymbiont of Brugia pahangi	Pseudomonadota	Bacteria
96942	Vitreoscilla sp. C1	Pseudomonadota	Bacteria
97138	Clostridium sp. MD294	Bacillota	Bacteria
98228	Bacillus sp. OxB-1	Bacillota	Bacteria
99598	Calothrix sp. PCC 7507	Cyanobacteriota	Bacteria
100379	Onion yellows phytoplasma	Mycoplasmatota	Bacteria
100901	Wolbachia endosymbiont of Onchocerca ochengi	Pseudomonadota	Bacteria
101534	Candidatus Blochmanniella pennsylvanica	Pseudomonadota	Bacteria
103232	Streptomyces ipomoeae	Actinomycetota	Bacteria
103690	Nostoc sp. PCC 7120 = FACHB-418	Cyanobacteriota	Bacteria
103808	Rhodococcus sp. AD45	Actinomycetota	Bacteria
104087	Pseudomonas frederiksbergensis	Pseudomonadota	Bacteria
105843	Anaerobutyricum soehngenii	Bacillota	Bacteria
107445	Pseudomonas sp. A2	Pseudomonadota	Bacteria
107637	Methylomonas sp. LW13	Pseudomonadota	Bacteria
108080	Candidatus Blochmanniella camponoti	Pseudomonadota	Bacteria
