dataset	mode	threshold	tp	fp	recall	precision	f1
ln_3M	screen	0.00	20	180	1.0000	0.1000	0.1818
ln_3M	screen	0.05	20	41	1.0000	0.3279	0.4938
ln_3M	screen	0.10	20	16	1.0000	0.5556	0.7143
ln_3M	screen	0.25	20	3	1.0000	0.8696	0.9302
ln_3M	screen	0.50	20	2	1.0000	0.9091	0.9524
ln_3M	screen	0.75	18	0	0.9000	1.0000	0.9474
ln_3M	screen	1.00	16	0	0.8000	1.0000	0.8889
ln_3M	screen	1.50	13	0	0.6500	1.0000	0.7879
ln_3M	screen	2.00	11	0	0.5500	1.0000	0.7097
ln_3M	full	0.00	19	148	0.9500	0.1138	0.2032
ln_3M	full	0.05	19	24	0.9500	0.4419	0.6032
ln_3M	full	0.10	19	14	0.9500	0.5758	0.7170
ln_3M	full	0.25	18	5	0.9000	0.7826	0.8372
ln_3M	full	0.50	18	2	0.9000	0.9000	0.9000
ln_3M	full	0.75	16	2	0.8000	0.8889	0.8421
ln_3M	full	1.00	15	2	0.7500	0.8824	0.8108
ln_3M	full	1.50	14	1	0.7000	0.9333	0.8000
ln_3M	full	2.00	13	0	0.6500	1.0000	0.7879
ln_10M	screen	0.00	20	168	1.0000	0.1064	0.1923
ln_10M	screen	0.05	20	25	1.0000	0.4444	0.6154
ln_10M	screen	0.10	20	10	1.0000	0.6667	0.8000
ln_10M	screen	0.25	20	1	1.0000	0.9524	0.9756
ln_10M	screen	0.50	20	0	1.0000	1.0000	1.0000
ln_10M	screen	0.75	19	0	0.9500	1.0000	0.9744
ln_10M	screen	1.00	17	0	0.8500	1.0000	0.9189
ln_10M	screen	1.50	14	0	0.7000	1.0000	0.8235
ln_10M	screen	2.00	13	0	0.6500	1.0000	0.7879
ln_10M	full	0.00	20	146	1.0000	0.1205	0.2151
ln_10M	full	0.05	20	20	1.0000	0.5000	0.6667
ln_10M	full	0.10	20	6	1.0000	0.7692	0.8696
ln_10M	full	0.25	20	2	1.0000	0.9091	0.9524
ln_10M	full	0.50	20	2	1.0000	0.9091	0.9524
ln_10M	full	0.75	20	1	1.0000	0.9524	0.9756
ln_10M	full	1.00	20	1	1.0000	0.9524	0.9756
ln_10M	full	1.50	19	1	0.9500	0.9500	0.9500
ln_10M	full	2.00	19	1	0.9500	0.9500	0.9500
ln_30M	screen	0.00	20	184	1.0000	0.0980	0.1786
ln_30M	screen	0.05	20	21	1.0000	0.4878	0.6557
ln_30M	screen	0.10	20	6	1.0000	0.7692	0.8696
ln_30M	screen	0.25	20	1	1.0000	0.9524	0.9756
ln_30M	screen	0.50	20	0	1.0000	1.0000	1.0000
ln_30M	screen	0.75	19	0	0.9500	1.0000	0.9744
ln_30M	screen	1.00	16	0	0.8000	1.0000	0.8889
ln_30M	screen	1.50	14	0	0.7000	1.0000	0.8235
ln_30M	screen	2.00	13	0	0.6500	1.0000	0.7879
ln_30M	full	0.00	20	145	1.0000	0.1212	0.2162
ln_30M	full	0.05	20	15	1.0000	0.5714	0.7273
ln_30M	full	0.10	20	8	1.0000	0.7143	0.8333
ln_30M	full	0.25	20	3	1.0000	0.8696	0.9302
ln_30M	full	0.50	20	1	1.0000	0.9524	0.9756
ln_30M	full	0.75	20	1	1.0000	0.9524	0.9756
ln_30M	full	1.00	19	1	0.9500	0.9500	0.9500
ln_30M	full	1.50	19	1	0.9500	0.9500	0.9500
ln_30M	full	2.00	17	1	0.8500	0.9444	0.8947
equalcov_30M	screen	0.00	20	175	1.0000	0.1026	0.1860
equalcov_30M	screen	0.05	20	21	1.0000	0.4878	0.6557
equalcov_30M	screen	0.10	20	9	1.0000	0.6897	0.8163
equalcov_30M	screen	0.25	20	1	1.0000	0.9524	0.9756
equalcov_30M	screen	0.50	20	0	1.0000	1.0000	1.0000
equalcov_30M	screen	0.75	20	0	1.0000	1.0000	1.0000
equalcov_30M	screen	1.00	19	0	0.9500	1.0000	0.9744
equalcov_30M	screen	1.50	19	0	0.9500	1.0000	0.9744
equalcov_30M	screen	2.00	18	0	0.9000	1.0000	0.9474
equalcov_30M	full	0.00	20	150	1.0000	0.1176	0.2105
equalcov_30M	full	0.05	20	11	1.0000	0.6452	0.7843
equalcov_30M	full	0.10	20	7	1.0000	0.7407	0.8511
equalcov_30M	full	0.25	20	2	1.0000	0.9091	0.9524
equalcov_30M	full	0.50	20	2	1.0000	0.9091	0.9524
equalcov_30M	full	0.75	20	1	1.0000	0.9524	0.9756
equalcov_30M	full	1.00	20	1	1.0000	0.9524	0.9756
equalcov_30M	full	1.50	19	0	0.9500	1.0000	0.9744
equalcov_30M	full	2.00	17	0	0.8500	1.0000	0.9189
