
Species with high confidence:

.-------------------------+---------+------------------+---------------+--------------+------------+-----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Species                 | taxID   | Genomic-distance | Shared-hashes | Completeness | Redundancy | Bin             | Scaffolds_in_Bin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
+-------------------------+---------+------------------+---------------+--------------+------------+-----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Gloeothece verrucosa    | 2546359 | 0.000            | 989/1000      | 1.0000       | 1.0571     | final_contigs_3 | k141_1951,k141_7787,k141_116,k141_121,k141_7185,k141_9102,k141_5213,k141_4551,k141_6512,k141_6515,k141_2673,k141_6528,k141_1332,k141_9815,k141_6541,k141_9838,k141_2696,k141_9845,k141_9855,k141_9196,k141_3273,k141_822,k141_834,k141_283,k141_850,k141_9260,k141_5307,k141_302,k141_5979,k141_3277,k141_5983,k141_9291,k141_1430,k141_8524,k141_5324,k141_8533,k141_3988,k141_8535,k141_2055,k141_913,k141_2806,k141_2061,k141_940,k141_7370,k141_421,k141_7391,k141_943,k141_2159,k141_7409,k141_2169,k141_7924,k141_6076,k141_9326,k141_985,k141_7474,k141_4100,k141_1003,k141_586,k141_1023,k141_7987,k141_5442,k141_2918,k141_5452,k141_1686,k141_1118,k141_8682,k141_5513,k141_4162,k141_1147,k141_4186,k141_4192,k141_4209,k141_4216,k141_9457,k141_1174,k141_6760,k141_10005,k141_1733,k141_8773,k141_8780,k141_6783,k141_3500,k141_3504,k141_6474,k141_10030,k141_10036,k141_3079,k141_6805,k141_5680,k141_4280,k141_8838,k141_1283,k141_1284,k141_3086,k141_4281,k141_1291,k141_6841,k141_3512,k141_6865,k141_6866,k141_8147,k141_5805,k141_5812,k141_2480,k141_2493,k141_3201,k141_3203,k141_3214,k141_10162,k141_4822,k141_8238,k141_8266,k141_4394,k141_1921,k141_1930,k141_4397,k141_3238,k141_8938,k141_8943,k141_6967,k141_3660,k141_4896,k141_3678,k141_3679,k141_6975,k141_10258,k141_9019,k141_6982,k141_6984,k141_4922,k141_3698,k141_3706,k141_7014,k141_7016,k141_7039,k141_7047,k141_5089,k141_5095,k141_5176                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Ktedonobacter racemifer | 363277  | 0.001            | 972/1000      | 0.9905       | 1.0865     | final_contigs_1 | k141_3248,k141_656,k141_7780,k141_3249,k141_5835,k141_5836,k141_5199,k141_3,k141_2614,k141_2616,k141_9725,k141_7135,k141_7136,k141_5205,k141_11,k141_9727,k141_5838,k141_2617,k141_4546,k141_9081,k141_5841,k141_28,k141_30,k141_7786,k141_47,k141_50,k141_55,k141_1308,k141_3905,k141_3906,k141_61,k141_9087,k141_70,k141_7184,k141_9747,k141_9088,k141_9094,k141_90,k141_9095,k141_92,k141_8434,k141_9757,k141_683,k141_3267,k141_3268,k141_9098,k141_3269,k141_102,k141_1960,k141_9101,k141_111,k141_9765,k141_112,k141_114,k141_8448,k141_9766,k141_3913,k141_8452,k141_3915,k141_8455,k141_689,k141_9767,k141_3917,k141_7186,k141_8457,k141_7190,k141_5212,k141_3919,k141_7796,k141_7193,k141_9775,k141_7799,k141_3924,k141_6495,k141_5216,k141_7805,k141_9111,k141_8458,k141_6501,k141_5217,k141_9114,k141_8461,k141_1323,k141_156,k141_157,k141_6511,k141_1330,k141_6523,k141_701,k141_9123,k141_702,k141_168,k141_9124,k141_2665,k141_169,k141_2666,k141_8474,k141_9133,k141_9135,k141_2674,k141_8477,k141_707,k141_1975,k141_1981,k141_6533,k141_3930,k141_708,k141_172,k141_710,k141_5219,k141_3932,k141_174,k141_5237,k141_3936,k141_7211,k141_175,k141_7221,k141_178,k141_7819,k141_9141,k141_184,k141_9144,k141_1988,k141_190,k141_1989,k141_199,k141_721,k141_9150,k141_722,k141_204,k141_1333,k141_726,k141_9159,k141_211,k141_9811,k141_9164,k141_1354,k141_5867,k141_737,k141_9165,k141_2689,k141_9180,k141_4553,k141_5869,k141_738,k141_746,k141_1365,k141_750,k141_2000,k141_2004,k141_6545,k141_7234,k141_9841,k141_756,k141_4563,k141_5253,k141_2007,k141_9188,k141_7235,k141_2008,k141_7236,k141_6547,k141_225,k141_7834,k141_5894,k141_5911,k141_5258,k141_764,k141_769,k141_9870,k141_789,k141_1374,k141_6549,k141_792,k141_7258,k141_798,k141_801,k141_5919,k141_7264,k141_5921,k141_5926,k141_5927,k141_7277,k141_7849,k141_8489,k141_9885,k141_3949,k141_8490,k141_3950,k141_9888,k141_5270,k141_5271,k141_2013,k141_1379,k141_5274,k141_830,k141_2722,k141_2018,k141_4577,k141_235,k141_8494,k141_243,k141_2725,k141_245,k141_2021,k141_4586,k141_2733,k141_251,k141_6554,k141_1383,k141_9202,k141_838,k141_256,k141_5294,k141_2022,k141_9905,k141_2024,k141_2025,k141_839,k141_264,k141_8495,k141_841,k141_3956,k141_6560,k141_1384,k141_1386,k141_2039,k141_8497,k141_2042,k141_8501,k141_279,k141_9909,k141_5301,k141_3963,k141_282,k141_9251,k141_286,k141_8505,k141_1392,k141_5304,k141_8506,k141_858,k141_9917,k141_5941,k141_9919,k141_3971,k141_6572,k141_3974,k141_1395,k141_9268,k141_303,k141_5962,k141_5310,k141_5963,k141_5974,k141_1400,k141_5977,k141_5311,k141_9274,k141_4605,k141_9933,k141_1404,k141_5317,k141_7868,k141_7298,k141_305,k141_7299,k141_9275,k141_9276,k141_1408,k141_1409,k141_5982,k141_4606,k141_2742,k141_9934,k141_1410,k141_3285,k141_7300,k141_6583,k141_7306,k141_1413,k141_3286,k141_9936,k141_7309,k141_7310,k141_9287,k141_5991,k141_1415,k141_339,k141_341,k141_2756,k141_6585,k141_9940,k141_7877,k141_9943,k141_7888,k141_7889,k141_5997,k141_348,k141_5998,k141_2758,k141_2759,k141_6593,k141_350,k141_5999,k141_2763,k141_351,k141_6594,k141_2767,k141_356,k141_6011,k141_6016,k141_8527,k141_8529,k141_3983,k141_8534,k141_6602,k141_3984,k141_378,k141_7315,k141_379,k141_5341,k141_7321,k141_7906,k141_5342,k141_5349,k141_901,k141_1436,k141_2775,k141_2060,k141_3997,k141_5354,k141_7358,k141_7359,k141_5356,k141_4002,k141_7362,k141_1440,k141_5380,k141_1444,k141_1445,k141_2784,k141_3292,k141_1480,k141_909,k141_4019,k141_408,k141_1486,k141_921,k141_6039,k141_927,k141_4025,k141_3302,k141_937,k141_939,k141_2070,k141_414,k141_415,k141_417,k141_418,k141_2074,k141_9307,k141_1497,k141_1498,k141_2076,k141_4032,k141_2077,k141_1499,k141_4628,k141_422,k141_1501,k141_7372,k141_442,k141_7922,k141_1508,k141_447,k141_4043,k141_2099,k141_2100,k141_4046,k141_4049,k141_4050,k141_2125,k141_3308,k141_2127,k141_3310,k141_1524,k141_2142,k141_2143,k141_2152,k141_9963,k141_1525,k141_9964,k141_3316,k141_454,k141_7394,k141_3318,k141_2155,k141_2814,k141_7399,k141_465,k141_8563,k141_471,k141_473,k141_6054,k141_477,k141_947,k141_6075,k141_9976,k141_948,k141_2829,k141_2170,k141_4060,k141_2181,k141_4636,k141_3329,k141_2188,k141_3333,k141_4072,k141_4073,k141_4074,k141_7937,k141_2192,k141_9313,k141_9315,k141_4075,k141_2198,k141_7940,k141_2206,k141_5391,k141_1555,k141_9319,k141_4645,k141_4647,k141_6082,k141_6090,k141_3342,k141_9982,k141_9983,k141_3347,k141_6608,k141_8582,k141_9331,k141_7427,k141_9332,k141_7429,k141_1569,k141_7437,k141_6094,k141_4654,k141_987,k141_9986,k141_7444,k141_3355,k141_9991,k141_7445,k141_1575,k141_2247,k141_523,k141_8590,k141_997,k141_998,k141_999,k141_8603,k141_8604,k141_8605,k141_4660,k141_8606,k141_4669,k141_1583,k141_534,k141_6124,k141_8608,k141_7475,k141_6132,k141_8618,k141_7487,k141_7489,k141_7498,k141_7504,k141_7510,k141_7959,k141_7964,k141_8625,k141_4103,k141_7517,k141_4104,k141_7520,k141_7521,k141_1626,k141_1627,k141_7980,k141_1629,k141_7523,k141_3361,k141_7982,k141_7530,k141_7531,k141_7542,k1- |
|                         |         |                  |               |              |            |                 | 41_7983,k141_1012,k141_7550,k141_1020,k141_573,k141_2835,k141_2836,k141_2280,k141_1024,k141_6638,k141_1029,k141_616,k141_9347,k141_9351,k141_6650,k141_7572,k141_6651,k141_2282,k141_6652,k141_622,k141_1047,k141_628,k141_2286,k141_635,k141_640,k141_2847,k141_641,k141_4149,k141_7988,k141_6659,k141_7996,k141_645,k141_4153,k141_646,k141_4156,k141_2295,k141_4159,k141_4160,k141_6138,k141_2867,k141_2299,k141_6139,k141_2301,k141_7589,k141_2869,k141_2304,k141_2876,k141_1075,k141_6666,k141_6667,k141_7593,k141_1077,k141_6148,k141_2320,k141_2923,k141_6679,k141_2925,k141_6159,k141_6166,k141_8669,k141_1677,k141_6171,k141_6177,k141_6182,k141_6185,k141_5461,k141_3377,k141_2975,k141_3379,k141_9363,k141_5465,k141_7627,k141_6197,k141_6214,k141_6215,k141_6225,k141_4697,k141_4698,k141_4700,k141_4701,k141_1711,k141_1131,k141_8683,k141_1135,k141_6684,k141_5498,k141_8685,k141_8687,k141_6240,k141_5510,k141_3406,k141_1148,k141_6249,k141_8693,k141_8694,k141_4726,k141_9383,k141_1158,k141_4739,k141_3013,k141_4750,k141_9398,k141_5519,k141_5520,k141_9400,k141_4751,k141_3420,k141_3424,k141_4195,k141_4752,k141_4201,k141_3021,k141_3024,k141_9436,k141_9440,k141_4777,k141_3439,k141_8722,k141_6717,k141_6288,k141_6718,k141_7676,k141_6719,k141_7680,k141_1725,k141_8735,k141_9459,k141_4787,k141_4801,k141_8755,k141_8050,k141_9471,k141_3034,k141_8068,k141_6742,k141_6743,k141_3049,k141_3050,k141_6745,k141_9472,k141_8092,k141_7719,k141_7728,k141_7733,k141_8098,k141_6765,k141_10007,k141_6768,k141_1190,k141_1192,k141_3450,k141_8110,k141_3453,k141_8112,k141_4242,k141_5583,k141_4255,k141_10009,k141_5591,k141_3455,k141_10010,k141_2349,k141_8117,k141_3457,k141_3463,k141_6354,k141_8775,k141_3473,k141_5609,k141_3474,k141_8777,k141_8791,k141_1208,k141_1213,k141_6790,k141_10014,k141_3476,k141_6392,k141_3485,k141_1224,k141_6403,k141_6436,k141_7754,k141_8127,k141_7762,k141_10017,k141_3505,k141_10018,k141_3506,k141_6471,k141_10024,k141_1235,k141_7766,k141_7768,k141_5634,k141_10029,k141_5642,k141_3062,k141_2403,k141_2412,k141_1747,k141_1752,k141_1759,k141_1250,k141_8829,k141_5670,k141_5671,k141_1256,k141_1266,k141_1280,k141_1761,k141_1287,k141_3087,k141_6823,k141_1763,k141_1780,k141_6835,k141_6847,k141_6848,k141_10052,k141_4293,k141_10054,k141_2424,k141_1819,k141_1830,k141_1831,k141_10057,k141_8138,k141_3522,k141_9517,k141_6874,k141_6878,k141_1839,k141_1845,k141_2433,k141_10088,k141_1863,k141_10093,k141_3108,k141_6897,k141_8852,k141_10100,k141_8860,k141_5742,k141_10112,k141_5750,k141_10129,k141_10132,k141_5751,k141_9553,k141_9557,k141_8883,k141_8157,k141_5770,k141_8884,k141_5777,k141_6928,k141_2446,k141_5789,k141_4312,k141_4327,k141_5814,k141_5816,k141_9610,k141_6937,k141_3530,k141_3534,k141_1870,k141_1879,k141_3536,k141_3538,k141_2488,k141_3178,k141_3189,k141_6943,k141_4340,k141_2522,k141_1899,k141_4353,k141_3562,k141_10198,k141_8233,k141_10205,k141_8911,k141_3570,k141_9641,k141_9658,k141_8241,k141_3583,k141_9659,k141_8925,k141_10237,k141_3588,k141_8269,k141_9679,k141_2551,k141_9693,k141_2559,k141_4385,k141_2563,k141_4390,k141_8314,k141_4393,k141_1916,k141_2570,k141_9714,k141_9718,k141_9720,k141_1933,k141_3606,k141_8343,k141_3607,k141_1940,k141_4841,k141_3615,k141_3616,k141_8369,k141_4856,k141_8381,k141_8383,k141_4857,k141_8384,k141_3242,k141_6958,k141_6962,k141_3656,k141_6968,k141_3664,k141_3665,k141_3670,k141_4897,k141_3675,k141_9000,k141_3683,k141_4908,k141_10268,k141_4934,k141_6990,k141_9045,k141_8398,k141_8400,k141_4461,k141_4953,k141_7007,k141_8404,k141_8409,k141_4956,k141_7030,k141_5006,k141_8422,k141_5020,k141_5035,k141_3730,k141_3738,k141_3742,k141_3749,k141_3750,k141_7085,k141_3754,k141_3755,k141_3774,k141_3775,k141_5046,k141_7087,k141_7090,k141_7097,k141_3776,k141_5056,k141_7110,k141_7113,k141_3781,k141_3783,k141_3789,k141_3806,k141_7121,k141_7122,k141_4534,k141_3807,k141_5064,k141_7129,k141_3813,k141_3831,k141_3834,k141_3869,k141_5108,k141_5111,k141_5114,k141_5124,k141_5161,k141_5174                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           |
| Marinitoga piezophila   | 149715  | 0.009            | 715/1000      | 0.8286       | 1.0115     | final_contigs_- | k141_5322,k141_9294,k141_878,k141_952,k141_6095,k141_995,k141_6127,k141_7965,k141_1607,k141_8639,k141_1057,k141_1082,k141_9362,k141_4225,k141_7741,k141_10016,k141_6861,k141_9539,k141_3215,k141_1904,k141_4904,k141_4487,k141_7119,k141_3838,k141_5180                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                         |         |                  |               |              |            | 19              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
| Helicobacter cinaedi    | 213     | 0.004            | 856/1000      | 0.9619       | 1.0990     | final_contigs_- | k141_7785,k141_1958,k141_5843,k141_88,k141_7198,k141_171,k141_188,k141_786,k141_9873,k141_1382,k141_289,k141_902,k141_7920,k141_426,k141_3314,k141_2165,k141_484,k141_9320,k141_8589,k141_1584,k141_1634,k141_9361,k141_8710,k141_5515,k141_3016,k141_9418,k141_3025,k141_6274,k141_5538,k141_1187,k141_8100,k141_1222,k141_5610,k141_6793,k141_6482,k141_5711,k141_8208,k141_1908,k141_10263,k141_7006,k141_10349                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              |
|                         |         |                  |               |              |            | 17              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
