tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	mock	0.0
Gold standard	phylum	Bray-Curtis distance	mock	0.0
Gold standard	class	Bray-Curtis distance	mock	0.0
Gold standard	order	Bray-Curtis distance	mock	0.0
Gold standard	family	Bray-Curtis distance	mock	0.0
Gold standard	genus	Bray-Curtis distance	mock	0.0
Gold standard	species	Bray-Curtis distance	mock	0.0
Gold standard	superkingdom	Shannon diversity	mock	0.10939335140113085
Gold standard	superkingdom	Shannon equitability	mock	0.15782124557263522
Gold standard	phylum	Shannon diversity	mock	2.063475143116924
Gold standard	phylum	Shannon equitability	mock	0.7619781724419525
Gold standard	class	Shannon diversity	mock	2.3794735244327296
Gold standard	class	Shannon equitability	mock	0.8398497520225983
Gold standard	order	Shannon diversity	mock	2.6336278837914833
Gold standard	order	Shannon equitability	mock	0.8944413188474545
Gold standard	family	Shannon diversity	mock	2.6336278837914833
Gold standard	family	Shannon equitability	mock	0.8944413188474545
Gold standard	genus	Shannon diversity	mock	2.6336278837914833
Gold standard	genus	Shannon equitability	mock	0.8944413188474545
Gold standard	species	Shannon diversity	mock	2.663961204988465
Gold standard	species	Shannon equitability	mock	0.8892520965593734
Gold standard	superkingdom	True positives	mock	2.0
Gold standard	superkingdom	False negatives	mock	0.0
Gold standard	superkingdom	False positives	mock	0.0
Gold standard	superkingdom	Completeness	mock	1.0
Gold standard	superkingdom	Purity	mock	1.0
Gold standard	superkingdom	F1 score	mock	1.0
Gold standard	superkingdom	Jaccard index	mock	1.0
Gold standard	phylum	True positives	mock	15.0
Gold standard	phylum	False negatives	mock	0.0
Gold standard	phylum	False positives	mock	0.0
Gold standard	phylum	Completeness	mock	1.0
Gold standard	phylum	Purity	mock	1.0
Gold standard	phylum	F1 score	mock	1.0
Gold standard	phylum	Jaccard index	mock	1.0
Gold standard	class	True positives	mock	17.0
Gold standard	class	False negatives	mock	0.0
Gold standard	class	False positives	mock	0.0
Gold standard	class	Completeness	mock	1.0
Gold standard	class	Purity	mock	1.0
Gold standard	class	F1 score	mock	1.0
Gold standard	class	Jaccard index	mock	1.0
Gold standard	order	True positives	mock	19.0
Gold standard	order	False negatives	mock	0.0
Gold standard	order	False positives	mock	0.0
Gold standard	order	Completeness	mock	1.0
Gold standard	order	Purity	mock	1.0
Gold standard	order	F1 score	mock	1.0
Gold standard	order	Jaccard index	mock	1.0
Gold standard	family	True positives	mock	19.0
Gold standard	family	False negatives	mock	0.0
Gold standard	family	False positives	mock	0.0
Gold standard	family	Completeness	mock	1.0
Gold standard	family	Purity	mock	1.0
Gold standard	family	F1 score	mock	1.0
Gold standard	family	Jaccard index	mock	1.0
Gold standard	genus	True positives	mock	19.0
Gold standard	genus	False negatives	mock	0.0
Gold standard	genus	False positives	mock	0.0
Gold standard	genus	Completeness	mock	1.0
Gold standard	genus	Purity	mock	1.0
Gold standard	genus	F1 score	mock	1.0
Gold standard	genus	Jaccard index	mock	1.0
Gold standard	species	True positives	mock	20.0
Gold standard	species	False negatives	mock	0.0
Gold standard	species	False positives	mock	0.0
Gold standard	species	Completeness	mock	1.0
Gold standard	species	Purity	mock	1.0
Gold standard	species	F1 score	mock	1.0
Gold standard	species	Jaccard index	mock	1.0
Gold standard	superkingdom	L1 norm error	mock	0.0
Gold standard	phylum	L1 norm error	mock	0.0
Gold standard	class	L1 norm error	mock	0.0
Gold standard	order	L1 norm error	mock	0.0
Gold standard	family	L1 norm error	mock	0.0
Gold standard	genus	L1 norm error	mock	0.0
Gold standard	species	L1 norm error	mock	0.0
Gold standard	na	Weighted UniFrac error	mock	0.0
Gold standard	na	Unweighted UniFrac error	mock	0.0
Gold standard	na	Weighted UniFrac (CAMI)	mock	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	mock	0.0
Gold standard	superkingdom	Sum of abundances	mock	1.0
Gold standard	phylum	Sum of abundances	mock	1.0
Gold standard	class	Sum of abundances	mock	1.0
Gold standard	order	Sum of abundances	mock	1.0
Gold standard	family	Sum of abundances	mock	1.0
Gold standard	genus	Sum of abundances	mock	1.0
Gold standard	species	Sum of abundances	mock	1.0
Gold standard	superkingdom	Taxon counts	mock	2.0
Gold standard	phylum	Taxon counts	mock	15.0
Gold standard	class	Taxon counts	mock	17.0
Gold standard	order	Taxon counts	mock	19.0
Gold standard	family	Taxon counts	mock	19.0
Gold standard	genus	Taxon counts	mock	19.0
Gold standard	species	Taxon counts	mock	20.0
RaPDTool_screen	superkingdom	Bray-Curtis distance	mock	0.0018588900000000175
RaPDTool_screen	phylum	Bray-Curtis distance	mock	0.008051065040255326
RaPDTool_screen	class	Bray-Curtis distance	mock	0.013235400000000003
RaPDTool_screen	order	Bray-Curtis distance	mock	0.019555419804445792
RaPDTool_screen	family	Bray-Curtis distance	mock	0.02386526464202103
RaPDTool_screen	genus	Bray-Curtis distance	mock	0.028572249999999993
RaPDTool_screen	species	Bray-Curtis distance	mock	0.05122519423162205
RaPDTool_screen	superkingdom	Shannon diversity	mock	0.11628954259482771
RaPDTool_screen	superkingdom	Shannon equitability	mock	0.1677703464088038
RaPDTool_screen	phylum	Shannon diversity	mock	2.077305101675158
RaPDTool_screen	phylum	Shannon equitability	mock	0.672040301296488
RaPDTool_screen	class	Shannon diversity	mock	2.426671245699082
RaPDTool_screen	class	Shannon equitability	mock	0.6825411193869149
RaPDTool_screen	order	Shannon diversity	mock	2.737055634034751
RaPDTool_screen	order	Shannon equitability	mock	0.6442411908444245
RaPDTool_screen	family	Shannon diversity	mock	2.7687340971939727
RaPDTool_screen	family	Shannon equitability	mock	0.5973885645148732
RaPDTool_screen	genus	Shannon diversity	mock	2.8032372775983814
RaPDTool_screen	genus	Shannon equitability	mock	0.5697658832135704
RaPDTool_screen	species	Shannon diversity	mock	2.9443937675317065
RaPDTool_screen	species	Shannon equitability	mock	0.5622890100629431
RaPDTool_screen	superkingdom	True positives	mock	2.0
RaPDTool_screen	superkingdom	False negatives	mock	0.0
RaPDTool_screen	superkingdom	False positives	mock	0.0
RaPDTool_screen	superkingdom	Completeness	mock	1.0
RaPDTool_screen	superkingdom	Purity	mock	1.0
RaPDTool_screen	superkingdom	F1 score	mock	1.0
RaPDTool_screen	superkingdom	Jaccard index	mock	1.0
RaPDTool_screen	phylum	True positives	mock	15.0
RaPDTool_screen	phylum	False negatives	mock	0.0
RaPDTool_screen	phylum	False positives	mock	7.0
RaPDTool_screen	phylum	Completeness	mock	1.0
RaPDTool_screen	phylum	Purity	mock	0.6818181818181818
RaPDTool_screen	phylum	F1 score	mock	0.8108108108108109
RaPDTool_screen	phylum	Jaccard index	mock	0.6818181818181818
RaPDTool_screen	class	True positives	mock	17.0
RaPDTool_screen	class	False negatives	mock	0.0
RaPDTool_screen	class	False positives	mock	18.0
RaPDTool_screen	class	Completeness	mock	1.0
RaPDTool_screen	class	Purity	mock	0.4857142857142857
RaPDTool_screen	class	F1 score	mock	0.6538461538461539
RaPDTool_screen	class	Jaccard index	mock	0.4857142857142857
RaPDTool_screen	order	True positives	mock	19.0
RaPDTool_screen	order	False negatives	mock	0.0
RaPDTool_screen	order	False positives	mock	51.0
