
Species with high confidence:

.-------------------------+---------+------------------+---------------+--------------+------------+-----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------.
| Species                 | taxID   | Genomic-distance | Shared-hashes | Completeness | Redundancy | Bin             | Scaffolds_in_Bin                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
+-------------------------+---------+------------------+---------------+--------------+------------+-----------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
| Gloeothece verrucosa    | 2546359 | 0.000            | 990/1000      | 1.0000       | 1.0571     | final_contigs_2 | k141_5254,k141_10501,k141_28,k141_46,k141_10529,k141_7381,k141_4237,k141_5289,k141_4265,k141_147,k141_10593,k141_15790,k141_2137,k141_9545,k141_5292,k141_10633,k141_215,k141_219,k141_233,k141_7527,k141_1120,k141_1124,k141_5340,k141_5350,k141_11732,k141_4536,k141_15928,k141_296,k141_7582,k141_1146,k141_2226,k141_12966,k141_348,k141_4559,k141_13741,k141_16014,k141_4582,k141_1157,k141_2228,k141_5363,k141_414,k141_418,k141_7628,k141_13054,k141_5409,k141_16048,k141_10869,k141_5459,k141_496,k141_505,k141_5503,k141_14906,k141_16144,k141_5516,k141_4604,k141_9730,k141_4606,k141_9754,k141_16167,k141_6579,k141_14954,k141_5557,k141_3472,k141_6592,k141_594,k141_11051,k141_3495,k141_5566,k141_11932,k141_6615,k141_14973,k141_14975,k141_13236,k141_13237,k141_16226,k141_4663,k141_696,k141_1244,k141_6732,k141_15043,k141_3687,k141_14013,k141_5694,k141_4721,k141_5713,k141_4778,k141_794,k141_12071,k141_15102,k141_1314,k141_1316,k141_16353,k141_3824,k141_822,k141_11447,k141_1326,k141_4867,k141_10000,k141_13633,k141_8801,k141_1333,k141_15137,k141_4913,k141_15146,k141_1376,k141_8874,k141_7897,k141_969,k141_5080,k141_12349,k141_5810,k141_8936,k141_6894,k141_5885,k141_5897,k141_14266,k141_1516,k141_6964,k141_14376,k141_5217,k141_10488,k141_1654,k141_16683,k141_6179,k141_12543,k141_12589,k141_6249,k141_14627,k141_14693,k141_14697,k141_7286,k141_9205,k141_15546,k141_15548,k141_9331,k141_15612,k141_9405,k141_15637                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |
| Ktedonobacter racemifer | 363277  | 0.002            | 927/1000      | 0.9714       | 1.0882     | final_contigs_1 | k141_10500,k141_6305,k141_7352,k141_12605,k141_6307,k141_4200,k141_14708,k141_9462,k141_6309,k141_12621,k141_6313,k141_4208,k141_7358,k141_10505,k141_11568,k141_8401,k141_12623,k141_5264,k141_6320,k141_5265,k141_14730,k141_36,k141_8404,k141_6323,k141_10517,k141_7359,k141_48,k141_53,k141_3153,k141_3156,k141_3157,k141_9484,k141_14735,k141_2104,k141_10536,k141_10538,k141_7378,k141_62,k141_63,k141_3162,k141_4220,k141_10543,k141_3163,k141_10546,k141_68,k141_14740,k141_11576,k141_4235,k141_10550,k141_15765,k141_2117,k141_5272,k141_7387,k141_3169,k141_5275,k141_5276,k141_3170,k141_2119,k141_11603,k141_11610,k141_77,k141_9497,k141_79,k141_83,k141_3174,k141_10563,k141_12627,k141_10564,k141_11639,k141_12629,k141_11640,k141_96,k141_4278,k141_8424,k141_3176,k141_100,k141_10592,k141_11668,k141_110,k141_4285,k141_4290,k141_118,k141_9501,k141_11676,k141_15779,k141_9502,k141_129,k141_11680,k141_4305,k141_7393,k141_13664,k141_7395,k141_13669,k141_4323,k141_7415,k141_7422,k141_173,k141_10596,k141_7436,k141_15786,k141_7437,k141_10597,k141_15787,k141_6352,k141_12639,k141_7446,k141_7454,k141_7462,k141_3186,k141_188,k141_9518,k141_3205,k141_9521,k141_2126,k141_9522,k141_3207,k141_1064,k141_2127,k141_11692,k141_6367,k141_3214,k141_2129,k141_14753,k141_6373,k141_1075,k141_3215,k141_2131,k141_9540,k141_7485,k141_1090,k141_3219,k141_9543,k141_7489,k141_14774,k141_2139,k141_12663,k141_3229,k141_7492,k141_14775,k141_12666,k141_6377,k141_14777,k141_2147,k141_2149,k141_12677,k141_12678,k141_2150,k141_12682,k141_12683,k141_2156,k141_10609,k141_12688,k141_12689,k141_6392,k141_10615,k141_5299,k141_197,k141_12702,k141_200,k141_10618,k141_12709,k141_5304,k141_10624,k141_204,k141_12720,k141_8444,k141_5305,k141_12721,k141_8445,k141_5309,k141_15795,k141_8451,k141_12727,k141_8467,k141_12732,k141_4364,k141_15820,k141_5317,k141_7507,k141_212,k141_12748,k141_15832,k141_8479,k141_12762,k141_15836,k141_15838,k141_12772,k141_1098,k141_221,k141_8494,k141_12776,k141_2180,k141_11697,k141_4381,k141_12782,k141_12788,k141_6400,k141_12789,k141_12791,k141_4392,k141_4396,k141_15842,k141_12795,k141_8518,k141_12807,k141_12809,k141_11702,k141_12814,k141_8538,k141_11707,k141_3243,k141_4404,k141_12835,k141_1107,k141_2186,k141_12838,k141_5320,k141_2196,k141_2202,k141_7522,k141_7523,k141_1114,k141_7528,k141_2210,k141_2211,k141_8549,k141_1121,k141_12845,k141_4443,k141_8557,k141_8561,k141_13690,k141_8564,k141_10663,k141_8567,k141_12855,k141_5330,k141_12856,k141_10665,k141_7547,k141_10667,k141_10669,k141_15850,k141_4463,k141_12865,k141_7552,k141_15851,k141_2214,k141_7554,k141_13716,k141_2215,k141_12876,k141_12878,k141_4471,k141_12882,k141_2218,k141_13719,k141_4493,k141_2222,k141_15869,k141_4507,k141_2223,k141_10679,k141_10681,k141_1132,k141_11724,k141_8580,k141_1133,k141_4513,k141_10687,k141_2224,k141_11727,k141_264,k141_4518,k141_8588,k141_15894,k141_4523,k141_11731,k141_10693,k141_4529,k141_4531,k141_10698,k141_15909,k141_10701,k141_274,k141_4540,k141_11734,k141_7567,k141_9563,k141_9564,k141_10709,k141_9565,k141_11738,k141_4548,k141_6411,k141_6413,k141_4555,k141_6421,k141_10713,k141_15923,k141_3256,k141_7571,k141_3258,k141_279,k141_10719,k141_285,k141_289,k141_6441,k141_15929,k141_6442,k141_6447,k141_300,k141_15940,k141_15943,k141_6456,k141_1142,k141_10722,k141_15949,k141_315,k141_6459,k141_14789,k141_15977,k141_14792,k141_12888,k141_12900,k141_322,k141_10729,k141_14808,k141_10731,k141_10738,k141_2227,k141_12923,k141_14812,k141_15987,k141_325,k141_12932,k141_8606,k141_1153,k141_8610,k141_11749,k141_12938,k141_14827,k141_11754,k141_11759,k141_12951,k141_14830,k141_10760,k141_14833,k141_11763,k141_337,k141_15996,k141_16000,k141_11768,k141_10765,k141_10767,k141_16006,k141_10773,k141_350,k141_16010,k141_6479,k141_11778,k141_16016,k141_16019,k141_14837,k141_352,k141_356,k141_11788,k141_357,k141_16024,k141_11794,k141_4573,k141_11800,k141_6508,k141_4576,k141_4577,k141_6520,k141_16029,k141_375,k141_16033,k141_10786,k141_16035,k141_385,k141_10800,k141_16040,k141_10802,k141_11803,k141_16041,k141_12977,k141_10811,k141_10812,k141_12978,k141_1158,k141_10818,k141_3282,k141_12991,k141_10821,k141_407,k141_410,k141_3295,k141_412,k141_10833,k141_1160,k141_1161,k141_10837,k141_1170,k141_13003,k141_10842,k141_11861,k141_13013,k141_11864,k141_9585,k141_8646,k141_5369,k141_11868,k141_2232,k141_5379,k141_13026,k141_11869,k141_8654,k141_5390,k141_5396,k141_8656,k141_416,k141_11876,k141_5398,k141_13041,k141_1190,k141_424,k141_429,k141_434,k141_2241,k141_7632,k141_10847,k141_11877,k141_447,k141_9594,k141_13059,k141_9596,k141_451,k141_10857,k141_13061,k141_11885,k141_2251,k141_10859,k141_456,k141_458,k141_11887,k141_5412,k141_2262,k141_462,k141_5424,k141_9615,k141_3339,k141_5428,k141_7657,k141_10878,k141_16056,k141_5431,k141_3349,k141_10890,k141_7670,k141_8663,k141_16066,k141_5433,k141_8664,k141_16074,k141_8669,k141_7683,k141_13067,k141_14867,k141_8670,k141_7686,k141_8675,k1- |
|                         |         |                  |               |              |            |                 | 41_7689,k141_5436,k141_473,k141_7700,k141_13082,k141_5447,k141_13088,k141_7702,k141_5453,k141_13094,k141_13106,k141_8679,k141_8680,k141_13109,k141_490,k141_13127,k141_491,k141_4599,k141_13132,k141_13140,k141_494,k141_6532,k141_13141,k141_4601,k141_10906,k141_3358,k141_3361,k141_4603,k141_7710,k141_13156,k141_10915,k141_5471,k141_13161,k141_3372,k141_6551,k141_13167,k141_10928,k141_13170,k141_10932,k141_10933,k141_9643,k141_10935,k141_9666,k141_3398,k141_13177,k141_5489,k141_3403,k141_5492,k141_9685,k141_16102,k141_9698,k141_3407,k141_16109,k141_10956,k141_3413,k141_509,k141_3415,k141_5497,k141_515,k141_8703,k141_5501,k141_14875,k141_10967,k141_3427,k141_6567,k141_14887,k141_7714,k141_8713,k141_10975,k141_6572,k141_14893,k141_7723,k141_8720,k141_13782,k141_13783,k141_8724,k141_16123,k141_14900,k141_3444,k141_7724,k141_3446,k141_11906,k141_13789,k141_3447,k141_8725,k141_14903,k141_13796,k141_3450,k141_11917,k141_8734,k141_10985,k141_11919,k141_13809,k141_11923,k141_14916,k141_553,k141_16142,k141_13815,k141_10993,k141_13822,k141_14935,k141_561,k141_5520,k141_9732,k141_571,k141_5522,k141_3454,k141_16161,k141_9734,k141_575,k141_3460,k141_16163,k141_583,k141_4610,k141_586,k141_13839,k141_5537,k141_13842,k141_5539,k141_5541,k141_13844,k141_11011,k141_5551,k141_13845,k141_4617,k141_4622,k141_13852,k141_11025,k141_13854,k141_13855,k141_9772,k141_14949,k141_14952,k141_6586,k141_3463,k141_3464,k141_6588,k141_4644,k141_8759,k141_4645,k141_11931,k141_4646,k141_13869,k141_14968,k141_11040,k141_2268,k141_3477,k141_8761,k141_13878,k141_8762,k141_13881,k141_3494,k141_603,k141_3496,k141_11054,k141_11057,k141_3515,k141_2293,k141_11067,k141_11068,k141_2294,k141_3532,k141_3534,k141_7734,k141_13188,k141_13198,k141_3544,k141_633,k141_634,k141_3550,k141_9789,k141_6612,k141_7741,k141_3563,k141_16191,k141_6625,k141_11078,k141_2310,k141_11086,k141_11087,k141_3576,k141_14972,k141_6628,k141_2335,k141_5580,k141_6653,k141_4662,k141_9811,k141_13201,k141_6663,k141_13883,k141_13203,k141_13884,k141_14978,k141_16220,k141_14981,k141_13207,k141_11134,k141_13888,k141_7744,k141_14984,k141_13892,k141_11151,k141_11152,k141_3591,k141_13896,k141_9821,k141_9823,k141_14991,k141_13901,k141_9824,k141_14995,k141_9832,k141_14998,k141_11173,k141_9835,k141_15000,k141_11180,k141_3596,k141_2368,k141_13230,k141_11183,k141_9858,k141_9864,k141_3600,k141_11194,k141_3602,k141_9865,k141_7762,k141_11207,k141_7766,k141_11214,k141_13239,k141_11215,k141_7768,k141_5600,k141_13244,k141_13921,k141_11217,k141_5607,k141_7769,k141_11219,k141_2404,k141_13924,k141_2406,k141_3604,k141_15016,k141_13254,k141_15017,k141_15019,k141_11225,k141_13259,k141_13943,k141_11228,k141_16232,k141_666,k141_668,k141_11234,k141_11958,k141_13950,k141_1239,k141_16246,k141_4664,k141_5629,k141_5632,k141_5634,k141_673,k141_6719,k141_11254,k141_5639,k141_681,k141_5646,k141_6722,k141_686,k141_6726,k141_11259,k141_7773,k141_11981,k141_5647,k141_7774,k141_11984,k141_7775,k141_7776,k141_5652,k141_4671,k141_11989,k141_11991,k141_13308,k141_5659,k141_6730,k141_13310,k141_7787,k141_7790,k141_13955,k141_13957,k141_13963,k141_12020,k141_13966,k141_1249,k141_13330,k141_4679,k141_13350,k141_1253,k141_13352,k141_4704,k141_11280,k141_4719,k141_3639,k141_1285,k141_13981,k141_16258,k141_6735,k141_13366,k141_5683,k141_13368,k141_11304,k141_13994,k141_1293,k141_6739,k141_15038,k141_16265,k141_1300,k141_3649,k141_1302,k141_16266,k141_1307,k141_6751,k141_11320,k141_11326,k141_3670,k141_11337,k141_13998,k141_11347,k141_3684,k141_2415,k141_3686,k141_16278,k141_3688,k141_3698,k141_2428,k141_7806,k141_6777,k141_11357,k141_2432,k141_13396,k141_14011,k141_2433,k141_6779,k141_11365,k141_7810,k141_13406,k141_14021,k141_7822,k141_7823,k141_717,k141_13410,k141_7824,k141_14029,k141_2460,k141_3708,k141_14042,k141_13430,k141_3710,k141_14045,k141_5697,k141_15048,k141_3711,k141_5703,k141_3724,k141_14050,k141_727,k141_6799,k141_16300,k141_3725,k141_13440,k141_6800,k141_14055,k141_15064,k141_751,k141_15070,k141_4734,k141_4740,k141_4743,k141_15075,k141_4748,k141_6812,k141_14059,k141_15081,k141_16331,k141_9939,k141_4760,k141_14080,k141_770,k141_13455,k141_4765,k141_2482,k141_771,k141_13466,k141_4773,k141_11392,k141_15092,k141_2497,k141_15094,k141_12049,k141_15097,k141_15098,k141_11393,k141_3751,k141_11396,k141_4780,k141_3765,k141_11399,k141_792,k141_5723,k141_14098,k141_16335,k141_11405,k141_12057,k141_16346,k141_11421,k141_4784,k141_5731,k141_3772,k141_12072,k141_2508,k141_7836,k141_12077,k141_3773,k141_7837,k141_3775,k141_14104,k141_5743,k141_15110,k141_7841,k141_11427,k141_2513,k141_5746,k141_15112,k141_12092,k141_5763,k141_13504,k141_12094,k141_2524,k141_11437,k141_12098,k141_2526,k141_12101,k141_2529,k141_2533,k141_16364,k141_3814,k141_7852,k141_12107,k141_9944,k141_13555,k141_3819,k141_12110,k141_4811,k141_13558,k141_7868,k141_16387,k141_12116,k141_7869,k141_9962,k141_13573,k141_9964,k141_7883,k141_16388,k141_1358- |
|                         |         |                  |               |              |            |                 | 2,k141_16403,k141_13591,k141_13602,k141_13618,k141_824,k141_16413,k141_836,k141_838,k141_16420,k141_848,k141_16425,k141_15123,k141_15124,k141_12126,k141_9986,k141_9987,k141_11454,k141_2563,k141_9990,k141_1331,k141_2568,k141_2573,k141_2589,k141_16432,k141_864,k141_868,k141_16444,k141_871,k141_8791,k141_873,k141_11495,k141_881,k141_884,k141_11521,k141_4874,k141_4876,k141_10017,k141_15132,k141_13638,k141_11533,k141_13644,k141_8803,k141_3850,k141_1339,k141_4908,k141_893,k141_16461,k141_1341,k141_4910,k141_16472,k141_10025,k141_10031,k141_10033,k141_8811,k141_1343,k141_2611,k141_903,k141_4918,k141_4919,k141_14139,k141_911,k141_14140,k141_3860,k141_4922,k141_3867,k141_3871,k141_14141,k141_2617,k141_3873,k141_14144,k141_15155,k141_14157,k141_4938,k141_15159,k141_1354,k141_3881,k141_4939,k141_12153,k141_3882,k141_8832,k141_1359,k141_4946,k141_3887,k141_15162,k141_2625,k141_3889,k141_4952,k141_14160,k141_8841,k141_928,k141_3905,k141_12163,k141_4963,k141_936,k141_2640,k141_4971,k141_3907,k141_1368,k141_8842,k141_4976,k141_3914,k141_10045,k141_14164,k141_12185,k141_944,k141_3915,k141_11544,k141_2647,k141_11547,k141_10065,k141_12191,k141_948,k141_3924,k141_4990,k141_8861,k141_949,k141_4997,k141_953,k141_10075,k141_1378,k141_10077,k141_5000,k141_8869,k141_10080,k141_8873,k141_1394,k141_14178,k141_2652,k141_10081,k141_8879,k141_966,k141_2655,k141_5002,k141_1417,k141_2661,k141_10090,k141_1421,k141_2667,k141_12230,k141_2668,k141_7909,k141_2669,k141_7911,k141_5023,k141_2673,k141_971,k141_12231,k141_2683,k141_7922,k141_10113,k141_15171,k141_5031,k141_5032,k141_15181,k141_7925,k141_5048,k141_12255,k141_2711,k141_5049,k141_12262,k141_7932,k141_10131,k141_8906,k141_8907,k141_12288,k141_6833,k141_10139,k141_8913,k141_6834,k141_10147,k141_8923,k141_12289,k141_6835,k141_2723,k141_3937,k141_10161,k141_3940,k141_6842,k141_978,k141_3942,k141_12299,k141_5058,k141_3946,k141_12301,k141_16493,k141_15207,k141_5065,k141_10176,k141_2726,k141_15221,k141_7943,k141_7947,k141_10183,k141_7951,k141_6854,k141_5775,k141_10194,k141_12329,k141_2734,k141_5777,k141_10208,k141_2743,k141_5783,k141_10215,k141_10218,k141_16512,k141_10220,k141_5789,k141_14182,k141_16515,k141_5793,k141_10229,k141_5795,k141_14190,k141_1429,k141_10244,k141_1430,k141_5101,k141_6863,k141_16527,k141_16531,k141_5798,k141_16536,k141_6871,k141_14194,k141_16546,k141_3951,k141_14195,k141_16549,k141_16551,k141_1453,k141_10254,k141_1459,k141_5127,k141_10258,k141_1461,k141_10264,k141_5822,k141_7966,k141_16554,k141_5824,k141_991,k141_7968,k141_6888,k141_7971,k141_5844,k141_1013,k141_10291,k141_1015,k141_5851,k141_7979,k141_5853,k141_1473,k141_1028,k141_16571,k141_7989,k141_5862,k141_1030,k141_5141,k141_8939,k141_1477,k141_5143,k141_8007,k141_16589,k141_5144,k141_1482,k141_1485,k141_5157,k141_5158,k141_2759,k141_5868,k141_2766,k141_10329,k141_6896,k141_2770,k141_6901,k141_5880,k141_10341,k141_5881,k141_10344,k141_1492,k141_2778,k141_10358,k141_1495,k141_10369,k141_2787,k141_2795,k141_5896,k141_8013,k141_8014,k141_5903,k141_14225,k141_8018,k141_16608,k141_8024,k141_5934,k141_16621,k141_14233,k141_2805,k141_6907,k141_8028,k141_16631,k141_8029,k141_8031,k141_2809,k141_2826,k141_2827,k141_15231,k141_2831,k141_14252,k141_8036,k141_6916,k141_1508,k141_6920,k141_15239,k141_3964,k141_14270,k141_15245,k141_1517,k141_6954,k141_6956,k141_15253,k141_15255,k141_1529,k141_14271,k141_8079,k141_3968,k141_15262,k141_14279,k141_2844,k141_8083,k141_2845,k141_14284,k141_1536,k141_8084,k141_2847,k141_1541,k141_3998,k141_12373,k141_1546,k141_2856,k141_6980,k141_4006,k141_6984,k141_8099,k141_1553,k141_4007,k141_2860,k141_8104,k141_15275,k141_4011,k141_1555,k141_1561,k141_4018,k141_2874,k141_1574,k141_4023,k141_1580,k141_14311,k141_10398,k141_5186,k141_14335,k141_1589,k141_1592,k141_10400,k141_10409,k141_10422,k141_2891,k141_10424,k141_10428,k141_10431,k141_10449,k141_5948,k141_10453,k141_5949,k141_10456,k141_5950,k141_5206,k141_10458,k141_16640,k141_14388,k141_16642,k141_5207,k141_16658,k141_5209,k141_4075,k141_8124,k141_10468,k141_14389,k141_4077,k141_14390,k141_14393,k141_10469,k141_8132,k141_4085,k141_14395,k141_14398,k141_10477,k141_1610,k141_10481,k141_5216,k141_10482,k141_1611,k141_10492,k141_1613,k141_5967,k141_10495,k141_10497,k141_1639,k141_1641,k141_5984,k141_1642,k141_8140,k141_1644,k141_8142,k141_1645,k141_8147,k141_1648,k141_1649,k141_1652,k141_1655,k141_1663,k141_1671,k141_6996,k141_6014,k141_6998,k141_1680,k141_6022,k141_7013,k141_6030,k141_1687,k141_7014,k141_1708,k141_6048,k141_2944,k141_7023,k141_7026,k141_2954,k141_12394,k141_8175,k141_1719,k141_12402,k141_1721,k141_14426,k141_12414,k141_16685,k141_6083,k141_1733,k141_8959,k141_1735,k141_1739,k141_8977,k141_12427,k141_8981,k141_12447,k141_12458,k141_16701,k141_16706,k141_16711,k141_2977,k141_8189,k141_2978,k141_2987,k141_8191,k141_3008,k141_8192,k141_1754,k141_4095,k141_6115,k141_3060,k141_6117,k141_3062,k141_12464,k141_124- |
|                         |         |                  |               |              |            |                 | 70,k141_4101,k141_4104,k141_12476,k141_16728,k141_12501,k141_8998,k141_12503,k141_1764,k141_12518,k141_1765,k141_3089,k141_1770,k141_1776,k141_15282,k141_6124,k141_1790,k141_6128,k141_6139,k141_6155,k141_6168,k141_15312,k141_7047,k141_14434,k141_7049,k141_6202,k141_9008,k141_14438,k141_3126,k141_9016,k141_14451,k141_5238,k141_8209,k141_15328,k141_14453,k141_5240,k141_12544,k141_14456,k141_4116,k141_6220,k141_5242,k141_12546,k141_5245,k141_12548,k141_8235,k141_12550,k141_1800,k141_6228,k141_1801,k141_9038,k141_3149,k141_1807,k141_1808,k141_16748,k141_9055,k141_8252,k141_14469,k141_9060,k141_12575,k141_8253,k141_8256,k141_1823,k141_8259,k141_8260,k141_8268,k141_1840,k141_7090,k141_1847,k141_7097,k141_1852,k141_7099,k141_9080,k141_7104,k141_1856,k141_7109,k141_12591,k141_8272,k141_7115,k141_8274,k141_8276,k141_8281,k141_6242,k141_7139,k141_4127,k141_4131,k141_14472,k141_7141,k141_1859,k141_1862,k141_14486,k141_7145,k141_7146,k141_14495,k141_7147,k141_6258,k141_14511,k141_6268,k141_4162,k141_4163,k141_4166,k141_4167,k141_14527,k141_4172,k141_14535,k141_4179,k141_4182,k141_8287,k141_6281,k141_6285,k141_4192,k141_8292,k141_1875,k141_14555,k141_8298,k141_4196,k141_1879,k141_1880,k141_8304,k141_8322,k141_8323,k141_8325,k141_8330,k141_1917,k141_14603,k141_8348,k141_1924,k141_1944,k141_1948,k141_14643,k141_1965,k141_14646,k141_1966,k141_14664,k141_1976,k141_9090,k141_9108,k141_9111,k141_9113,k141_1991,k141_9133,k141_14692,k141_2002,k141_2004,k141_2005,k141_2006,k141_9139,k141_15349,k141_7188,k141_15361,k141_9156,k141_15368,k141_8361,k141_9158,k141_15374,k141_8367,k141_8370,k141_8382,k141_2033,k141_2040,k141_2044,k141_8389,k141_8396,k141_8398,k141_2050,k141_15409,k141_15413,k141_15422,k141_15427,k141_2059,k141_15428,k141_15446,k141_15448,k141_15452,k141_7246,k141_7262,k141_15461,k141_15489,k141_15502,k141_15515,k141_7273,k141_15527,k141_15545,k141_7293,k141_7294,k141_2084,k141_2085,k141_9190,k141_9200,k141_2089,k141_2090,k141_2097,k141_9207,k141_9209,k141_9237,k141_9243,k141_9272,k141_9296,k141_9307,k141_7309,k141_15547,k141_9323,k141_15554,k141_15557,k141_15566,k141_15572,k141_15573,k141_9340,k141_15584,k141_9351,k141_9354,k141_9361,k141_9362,k141_15592,k141_15600,k141_9397,k141_9409,k141_9411,k141_9416,k141_9443,k141_9444,k141_15681,k141_15695,k141_15698,k141_15728,k141_15734,k141_15747                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |
| Marinitoga piezophila   | 149715  | 0.010            | 687/1000      | 0.8571       | 1.0111     | final_contigs_- | k141_6330,k141_2121,k141_95,k141_2124,k141_6402,k141_7529,k141_11710,k141_10671,k141_3272,k141_16095,k141_1203,k141_7742,k141_6707,k141_1320,k141_1321,k141_859,k141_2604,k141_16476,k141_6855,k141_5128,k141_10473,k141_6296,k141_7307                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         |
|                         |         |                  |               |              |            | 19              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 |
