Kingdom,Phylum,Class,Order,Family,Genus,Species,Strain,screen_reads.fastq
Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,Weeksella_virosa,NCTC11634,0.155165624380587
Bacteria,Mycoplasmatota,Mollicutes,Acholeplasmatales,Acholeplasmataceae,Candidatus_Phytoplasma,Candidatus_Phytoplasma_australasiaticum,o7C,0.08029714579246298
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus_infantarius,NCTC13760,0.6231553230274794
Bacteria,Bacillota,Bacilli,Caryophanales,Caryophanaceae,Kurthia,Kurthia_senegalensis,type_strain:_JC8E,0.04897071820898206
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Companilactobacillus,Companilactobacillus_heilongjiangensis,S4-3,0.19489312425679545
Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylotuvimicrobium,Methylotuvimicrobium_alcaliphilum,20Z,0.1357481929554977
Bacteria,Cyanobacteriota,Cyanophyceae,Pleurocapsales,Dermocarpellaceae,Stanieria,Stanieria_cyanosphaera,PCC_7437,1.1250933953140803
Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_columbae,DSM_7374,0.4045916268580727
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Oenococcus,Oenococcus_oeni,DSM_20252,0.05222205207507995
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas_somerae,DSM_23386,0.021166535637032434
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Stappiaceae,Stappia,Stappia_stellulata,DSM_5886,0.15826665242882212
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces_pratensis,DSM_105114,3.8752320594886847
Bacteria,Cyanobacteriota,Cyanophyceae,Gomontiellales,Chamaesiphonaceae,Chamaesiphon,Chamaesiphon_minutus,PCC_6605,0.006548121595643235
