tool,replicate,wall_seconds,peak_rss_kb,peak_rss_gb,exit_code
rapdtool,1,150.4,7052700,6.73,0
rapdtool_screen,1,191.3,7052680,6.73,0
kraken2_full,1,1064.7,108978636,103.93,0
kraken2_cap16,1,141.2,16422852,15.66,0
kraken2_cap8,1,82.3,8646360,8.25,0
metaphlan,1,766.6,35623276,33.97,0
rapdtool,2,194.1,7053640,6.73,0
rapdtool_screen,2,197.1,7053624,6.73,0
kraken2_full,2,1061.7,108987380,103.94,0
kraken2_cap16,2,140.0,16442436,15.68,0
kraken2_cap8,2,82.1,8667944,8.27,0
metaphlan,2,768.6,35623688,33.97,0
rapdtool,3,153.2,7053068,6.73,0
rapdtool_screen,3,199.7,7052828,6.73,0
kraken2_full,3,1061.3,108982104,103.93,0
kraken2_cap16,3,139.5,16425204,15.66,0
kraken2_cap8,3,82.1,8644036,8.24,0
metaphlan,3,768.0,35622652,33.97,0
