tool	rank	metric	sample	value
Gold standard	superkingdom	Bray-Curtis distance	mock	0.0
Gold standard	phylum	Bray-Curtis distance	mock	0.0
Gold standard	class	Bray-Curtis distance	mock	0.0
Gold standard	order	Bray-Curtis distance	mock	0.0
Gold standard	family	Bray-Curtis distance	mock	0.0
Gold standard	genus	Bray-Curtis distance	mock	0.0
Gold standard	species	Bray-Curtis distance	mock	0.0
Gold standard	superkingdom	Shannon diversity	mock	0.0
Gold standard	superkingdom	Shannon equitability	mock	0.0
Gold standard	phylum	Shannon diversity	mock	0.6615632381579821
Gold standard	phylum	Shannon equitability	mock	0.954434002924965
Gold standard	class	Shannon diversity	mock	0.6615632381579821
Gold standard	class	Shannon equitability	mock	0.954434002924965
Gold standard	order	Shannon diversity	mock	1.3208883431493221
Gold standard	order	Shannon equitability	mock	0.9528195311147832
Gold standard	family	Shannon diversity	mock	1.9061547465398496
Gold standard	family	Shannon equitability	mock	0.979569764547061
Gold standard	genus	Shannon diversity	mock	2.0794415416798357
Gold standard	genus	Shannon equitability	mock	1.0
Gold standard	species	Shannon diversity	mock	2.0794415416798357
Gold standard	species	Shannon equitability	mock	1.0
Gold standard	superkingdom	True positives	mock	1.0
Gold standard	superkingdom	False negatives	mock	0.0
Gold standard	superkingdom	False positives	mock	0.0
Gold standard	superkingdom	Completeness	mock	1.0
Gold standard	superkingdom	Purity	mock	1.0
Gold standard	superkingdom	F1 score	mock	1.0
Gold standard	superkingdom	Jaccard index	mock	1.0
Gold standard	phylum	True positives	mock	2.0
Gold standard	phylum	False negatives	mock	0.0
Gold standard	phylum	False positives	mock	0.0
Gold standard	phylum	Completeness	mock	1.0
Gold standard	phylum	Purity	mock	1.0
Gold standard	phylum	F1 score	mock	1.0
Gold standard	phylum	Jaccard index	mock	1.0
Gold standard	class	True positives	mock	2.0
Gold standard	class	False negatives	mock	0.0
Gold standard	class	False positives	mock	0.0
Gold standard	class	Completeness	mock	1.0
Gold standard	class	Purity	mock	1.0
Gold standard	class	F1 score	mock	1.0
Gold standard	class	Jaccard index	mock	1.0
Gold standard	order	True positives	mock	4.0
Gold standard	order	False negatives	mock	0.0
Gold standard	order	False positives	mock	0.0
Gold standard	order	Completeness	mock	1.0
Gold standard	order	Purity	mock	1.0
Gold standard	order	F1 score	mock	1.0
Gold standard	order	Jaccard index	mock	1.0
Gold standard	family	True positives	mock	7.0
Gold standard	family	False negatives	mock	0.0
Gold standard	family	False positives	mock	0.0
Gold standard	family	Completeness	mock	1.0
Gold standard	family	Purity	mock	1.0
Gold standard	family	F1 score	mock	1.0
Gold standard	family	Jaccard index	mock	1.0
Gold standard	genus	True positives	mock	8.0
Gold standard	genus	False negatives	mock	0.0
Gold standard	genus	False positives	mock	0.0
Gold standard	genus	Completeness	mock	1.0
Gold standard	genus	Purity	mock	1.0
Gold standard	genus	F1 score	mock	1.0
Gold standard	genus	Jaccard index	mock	1.0
Gold standard	species	True positives	mock	8.0
Gold standard	species	False negatives	mock	0.0
Gold standard	species	False positives	mock	0.0
Gold standard	species	Completeness	mock	1.0
Gold standard	species	Purity	mock	1.0
Gold standard	species	F1 score	mock	1.0
Gold standard	species	Jaccard index	mock	1.0
Gold standard	superkingdom	L1 norm error	mock	0.0
Gold standard	phylum	L1 norm error	mock	0.0
Gold standard	class	L1 norm error	mock	0.0
Gold standard	order	L1 norm error	mock	0.0
Gold standard	family	L1 norm error	mock	0.0
Gold standard	genus	L1 norm error	mock	0.0
Gold standard	species	L1 norm error	mock	0.0
Gold standard	na	Weighted UniFrac error	mock	0.0
Gold standard	na	Unweighted UniFrac error	mock	0.0
Gold standard	na	Weighted UniFrac (CAMI)	mock	0.0
Gold standard	na	Unweighted UniFrac (CAMI)	mock	0.0
Gold standard	superkingdom	Sum of abundances	mock	1.0
Gold standard	phylum	Sum of abundances	mock	1.0
Gold standard	class	Sum of abundances	mock	1.0
Gold standard	order	Sum of abundances	mock	1.0
Gold standard	family	Sum of abundances	mock	1.0
Gold standard	genus	Sum of abundances	mock	1.0
Gold standard	species	Sum of abundances	mock	1.0
Gold standard	superkingdom	Taxon counts	mock	1.0
Gold standard	phylum	Taxon counts	mock	2.0
Gold standard	class	Taxon counts	mock	2.0
Gold standard	order	Taxon counts	mock	4.0
Gold standard	family	Taxon counts	mock	7.0
Gold standard	genus	Taxon counts	mock	8.0
Gold standard	species	Taxon counts	mock	8.0
RaPDTool_screen	superkingdom	Bray-Curtis distance	mock	0.034463839999999975
RaPDTool_screen	phylum	Bray-Curtis distance	mock	0.21848278781517214
RaPDTool_screen	class	Bray-Curtis distance	mock	0.23460230000000004
RaPDTool_screen	order	Bray-Curtis distance	mock	0.29809140403817197
RaPDTool_screen	family	Bray-Curtis distance	mock	0.3283082234338355
RaPDTool_screen	genus	Bray-Curtis distance	mock	0.46325614073487736
RaPDTool_screen	species	Bray-Curtis distance	mock	0.6216330256755046
RaPDTool_screen	superkingdom	Shannon diversity	mock	0.149931877521174
RaPDTool_screen	superkingdom	Shannon equitability	mock	0.2163059761709692
RaPDTool_screen	phylum	Shannon diversity	mock	1.5698883034900328
RaPDTool_screen	phylum	Shannon equitability	mock	0.5541016905004678
RaPDTool_screen	class	Shannon diversity	mock	1.7156090050534167
RaPDTool_screen	class	Shannon equitability	mock	0.5398300647618625
RaPDTool_screen	order	Shannon diversity	mock	2.421649197694441
RaPDTool_screen	order	Shannon equitability	mock	0.6811285859533986
RaPDTool_screen	family	Shannon diversity	mock	2.8849455563195314
RaPDTool_screen	family	Shannon equitability	mock	0.7578674400665342
RaPDTool_screen	genus	Shannon diversity	mock	3.3911966228233075
RaPDTool_screen	genus	Shannon equitability	mock	0.8185098595084485
RaPDTool_screen	species	Shannon diversity	mock	3.6208679462390783
RaPDTool_screen	species	Shannon equitability	mock	0.843934780390305
RaPDTool_screen	superkingdom	True positives	mock	1.0
RaPDTool_screen	superkingdom	False negatives	mock	0.0
RaPDTool_screen	superkingdom	False positives	mock	1.0
RaPDTool_screen	superkingdom	Completeness	mock	1.0
RaPDTool_screen	superkingdom	Purity	mock	0.5
RaPDTool_screen	superkingdom	F1 score	mock	0.6666666666666666
RaPDTool_screen	superkingdom	Jaccard index	mock	0.5
RaPDTool_screen	phylum	True positives	mock	2.0
RaPDTool_screen	phylum	False negatives	mock	0.0
RaPDTool_screen	phylum	False positives	mock	15.0
RaPDTool_screen	phylum	Completeness	mock	1.0
RaPDTool_screen	phylum	Purity	mock	0.11764705882352941
RaPDTool_screen	phylum	F1 score	mock	0.21052631578947367
RaPDTool_screen	phylum	Jaccard index	mock	0.11764705882352941
RaPDTool_screen	class	True positives	mock	2.0
RaPDTool_screen	class	False negatives	mock	0.0
RaPDTool_screen	class	False positives	mock	22.0
RaPDTool_screen	class	Completeness	mock	1.0
RaPDTool_screen	class	Purity	mock	0.08333333333333333
RaPDTool_screen	class	F1 score	mock	0.15384615384615385
RaPDTool_screen	class	Jaccard index	mock	0.08333333333333333
RaPDTool_screen	order	True positives	mock	4.0
RaPDTool_screen	order	False negatives	mock	0.0
RaPDTool_screen	order	False positives	mock	31.0
RaPDTool_screen	order	Completeness	mock	1.0
