## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
final_contigs_20	1481798	0.68	6	0.0571	1.0000	33	82919	5	20216	18	1489	
final_contigs_19	1558983	0.3	87	0.8286	1.0115	25	82937	5	27026	17	1438	
final_contigs_17	2049315	0.39	101	0.9619	1.0990	41	103450	8	26329	25	2081	
final_contigs_18	1962514	0.45	91	0.8667	1.0110	29	135756	6	47871	16	1791	
final_contigs_15	2206124	0.3	95	0.9048	1.0105	30	152612	5	45365	15	2227	
final_contigs_12	3111834	0.3	104	0.9905	1.0288	7	1859666	1	148894	5	2640	
final_contigs_10	3576593	0.27	105	1.0000	2.1333	100	103791	9	15417	41	3383	
final_contigs_14	2734077	0.33	105	1.0000	1.0095	73	61301	12	19806	41	2551	
final_contigs_16	2084842	0.48	88	0.8381	1.0227	75	53618	15	14143	46	2042	
final_contigs_13	3068273	0.66	51	0.4857	1.0588	13	313196	4	93037	9	3172	
final_contigs_3	7612692	0.4	105	1.0000	1.0571	139	196243	12	28027	53	6855	
final_contigs_11	3272418	0.7	100	0.9524	1.0000	38	163254	7	39153	24	3325	
final_contigs_5	6243371	0.67	95	0.9048	1.0105	40	239156	9	71732	25	5735	
final_contigs_4	7450494	0.73	103	0.9810	1.0485	58	245778	8	80865	30	6647	
final_contigs_9	4439346	0.54	95	0.9048	1.0000	137	54007	24	14998	79	3963	
final_contigs_8	4791291	0.5	105	1.0000	1.0190	63	150679	11	40595	33	4507	
final_contigs_7	6144943	0.66	104	0.9905	1.0385	82	173878	13	45842	38	5427	
final_contigs_6	6219592	0.42	104	0.9905	1.0000	22	486162	4	155196	13	5278	
final_contigs_1	12364975	0.54	104	0.9905	1.0865	889	22240	146	6124	547	12017	
final_contigs_2	9999083	0.7	104	0.9905	1.1346	755	20229	146	6234	487	8226	
