## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
bin16	1955212	0.39	101	0.9619	1.0000	37	96794	7	28385	21	1986	
bin10	3198375	0.3	103	0.9810	1.0291	121	37154	24	14688	75	2813	
bin19	2707665	0.33	105	1.0000	1.0095	66	61299	11	20506	38	2524	
bin14	3081371	0.66	51	0.4857	1.0588	11	354155	4	202840	8	3188	
bin17	7564136	0.4	105	1.0000	1.0571	130	155674	15	30213	58	6806	
bin1	2283905	0.31	104	0.9905	1.0096	54	151225	5	19042	19	2315	
bin11	7244072	0.7	79	0.7524	1.0886	3229	2496	994	1301	2598	8330	
bin15	6114373	0.66	104	0.9905	1.0385	76	172558	13	48280	38	5409	
bin18	6264105	0.67	95	0.9048	1.0105	48	283643	8	73994	25	5753	
bin12	6207129	0.42	104	0.9905	1.0000	21	485548	4	155197	13	5269	
bin13	4713707	0.7	104	0.9905	1.0192	69	88783	12	35232	44	4752	
bin4	2217071	0.29	103	0.9810	1.0194	46	75131	9	32786	26	2083	
bin7	1165710	0.28	98	0.9333	1.0102	19	855447	1	24660	7	1122	
bin6	2310049	0.48	88	0.8381	1.0227	108	50221	18	12414	56	2268	
bin9	1722890	0.27	103	0.9810	1.0485	43	112928	6	19187	20	1633	
bin2	4639252	0.54	104	0.9905	1.0288	196	53527	26	12986	90	4147	
bin3	4777470	0.5	105	1.0000	1.0190	57	155869	10	40600	33	4484	
bin8	2041187	0.45	101	0.9619	1.0099	33	124642	7	33473	17	1859	
bin5	7578251	0.73	103	0.9810	1.0485	69	234726	10	81064	31	6764	
