## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
final_contigs_14	931604	0.32	78	0.7429	1.0128	21	52706	7	25222	15	792	
final_contigs_13	1339020	0.27	98	0.9333	1.1429	41	75946	2	14413	19	1124	
final_contigs_11	1583239	0.51	103	0.9810	1.0000	10	474778	2	76966	6	1357	
final_contigs_12	1555806	0.42	48	0.4571	1.0625	16	172700	4	60216	10	1875	
final_contigs_10	1963773	0.4	97	0.9238	1.0619	66	55426	11	14823	38	2247	
final_contigs_9	3051270	0.47	105	1.0000	1.0000	9	2201574	1	152637	4	3191	
final_contigs_8	4263339	0.37	105	1.0000	1.0095	19	525700	3	100282	10	4049	
final_contigs_6	4901427	0.55	79	0.7524	1.0380	19	419398	4	138906	12	4530	
final_contigs_4	8407754	0.42	104	0.9905	1.0577	584	31034	79	5634	319	8078	
final_contigs_1	9337989	0.38	105	1.0000	1.0381	228	124541	21	24020	78	7575	
final_contigs_5	6349558	0.61	104	0.9905	1.0096	47	249124	7	62976	26	5722	
final_contigs_7	4499459	0.6	102	0.9714	1.0294	39	169615	8	70480	25	4615	
final_contigs_3	8503760	0.63	102	0.9714	1.0196	202	76266	38	23096	118	8203	
final_contigs_2	8722552	0.71	103	0.9810	1.0291	50	334669	10	89454	27	7723	
