## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
final_contigs_14	1933680	0.45	91	0.8667	1.0110	115	23872	24	8944	79	1830	
final_contigs_12	2058371	0.39	101	0.9619	1.0990	44	103450	7	21993	24	2091	
final_contigs_13	2027580	0.48	84	0.8000	1.0238	73	54240	15	14249	44	1980	
final_contigs_11	2580820	0.33	105	1.0000	1.0095	56	62231	11	24826	36	2389	
final_contigs_6	5713578	0.4	79	0.7524	1.0380	1663	3732	492	1944	1329	6448	
final_contigs_7	4806129	0.5	105	1.0000	1.0190	67	150700	11	39901	35	4531	
final_contigs_1	7421053	0.29	105	1.0000	3.8286	1047	16446	50	2270	639	7872	
final_contigs_10	3034792	0.67	51	0.4857	1.0588	182	26919	36	8318	114	3259	
final_contigs_8	4504518	0.54	95	0.9048	1.0105	153	53402	24	14595	83	3999	
final_contigs_4	6153998	0.66	104	0.9905	1.0385	117	130645	18	31583	57	5441	
final_contigs_9	3159776	0.7	74	0.7048	1.3919	1022	3166	292	1765	829	3986	
final_contigs_2	7248657	0.73	68	0.6476	1.0735	65	214827	9	77431	31	6444	
final_contigs_3	6246609	0.67	94	0.8952	1.0106	38	274161	9	92666	24	5734	
final_contigs_5	6150005	0.42	104	0.9905	1.0000	100	102176	20	33680	62	5241	
