## miComplete
## v1.1.1
Name	Length	GC-content	Present Markers	Completeness	Redundancy	Contigs	N50	L50	N90	L90	CDs	
final_contigs_19	1535909	0.3	90	0.8571	1.0111	23	82937	5	36954	16	1416	
final_contigs_16	2046790	0.39	101	0.9619	1.0990	40	96794	7	26299	24	2081	
final_contigs_17	2028680	0.48	84	0.8000	1.0238	73	53618	15	14143	44	1983	
final_contigs_15	2136960	0.31	95	0.9048	1.0105	26	151225	5	45385	14	2148	
final_contigs_18	1961047	0.45	91	0.8667	1.0110	27	128933	6	48198	15	1787	
final_contigs_11	3354688	0.3	103	0.9810	1.0388	136	37154	25	13456	79	2996	
final_contigs_10	3515334	0.28	105	1.0000	2.0952	89	130291	7	16902	37	3324	
final_contigs_14	2648290	0.33	105	1.0000	1.0095	60	63646	10	20721	36	2454	
final_contigs_13	3081371	0.66	51	0.4857	1.0588	11	354155	4	202840	8	3188	
final_contigs_8	4794062	0.5	105	1.0000	1.0190	62	150700	11	40600	33	4507	
final_contigs_5	6242291	0.67	94	0.8952	1.0106	40	283643	8	73994	25	5719	
final_contigs_12	3352171	0.7	76	0.7238	1.0000	42	92089	8	41398	29	3379	
final_contigs_2	7591784	0.4	105	1.0000	1.0571	138	155674	15	30028	59	6843	
final_contigs_3	7502556	0.7	71	0.6762	1.3944	2246	3284	539	1782	1788	8055	
final_contigs_6	6225245	0.42	104	0.9905	1.0000	23	485548	4	155197	13	5288	
final_contigs_4	7455730	0.73	103	0.9810	1.0485	59	249742	9	81279	30	6651	
final_contigs_9	4457527	0.54	95	0.9048	1.0105	137	55597	24	15071	80	3964	
final_contigs_7	6150367	0.66	104	0.9905	1.0385	87	171622	14	48280	38	5429	
final_contigs_1	11697818	0.54	102	0.9714	1.0882	1641	9502	371	3347	1177	11875	
